# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
5.000000000000000E+005	-2.650636282476720E+001	1.140998585427876E+002	
5.032761480982608E+005	-2.622583307981628E+001	1.132345006900350E+002	
5.065737624892451E+005	-2.606136966377754E+001	1.125042145075955E+002	
5.098929838264610E+005	-2.599094730755437E+001	1.120644805550457E+002	
5.132339536850202E+005	-2.591830582483800E+001	1.115800720492002E+002	
5.165968145676763E+005	-2.583693273391089E+001	1.110383200056818E+002	
5.199817099109033E+005	-2.575120594183164E+001	1.105261934384404E+002	
5.233887840910133E+005	-2.567210389964637E+001	1.100119657667439E+002	
5.268181824303150E+005	-2.563785303676747E+001	1.098879491204730E+002	
5.302700512033115E+005	-2.553167516367523E+001	1.092125038162688E+002	
5.337445376429403E+005	-2.544019572211980E+001	1.085122845920812E+002	
5.372417899468524E+005	-2.538468843742649E+001	1.082290574329636E+002	
5.407619572837337E+005	-2.529389614073033E+001	1.076209420937185E+002	
5.443051897996675E+005	-2.522891021443516E+001	1.072735187765781E+002	
5.478716386245388E+005	-2.514930612915323E+001	1.067276778282333E+002	
5.514614558784805E+005	-2.507394843923724E+001	1.062515884622221E+002	
5.550747946783613E+005	-2.500023462403808E+001	1.058263308270670E+002	
5.587118091443173E+005	-2.502840183396469E+001	1.067268114440045E+002	
5.623726544063253E+005	-2.485191608474470E+001	1.050230910084874E+002	
5.660574866108197E+005	-2.477296804606883E+001	1.044999456994361E+002	
5.697664629273524E+005	-2.469738649010194E+001	1.041058008781286E+002	
5.734997415552969E+005	-2.462930566470793E+001	1.038890183105053E+002	
5.772574817305958E+005	-2.454749201855334E+001	1.033930808603778E+002	
5.810398437325528E+005	-2.446393960388776E+001	1.028621680837376E+002	
5.848469888906692E+005	-2.438556499343893E+001	1.024535311520629E+002	
5.886790795915247E+005	-2.431879189107219E+001	1.024291861913960E+002	
5.925362792857041E+005	-2.422993383791858E+001	1.015933534971416E+002	
5.964187524947689E+005	-2.414983147707014E+001	1.011987099270330E+002	
6.003266648182746E+005	-2.407263416909593E+001	1.007946376244722E+002	
6.042601829408339E+005	-2.398363000727077E+001	1.008387780549051E+002	
6.082194746392266E+005	-2.390555650429490E+001	9.998601871003824E+001	
6.122047087895556E+005	-2.382524142974283E+001	9.957211594761321E+001	
6.162160553744501E+005	-2.374285494903788E+001	9.914462340937683E+001	
6.202536854903157E+005	-2.365960314099647E+001	9.879761697653763E+001	
6.243177713546323E+005	-2.356783986019771E+001	9.883496256928244E+001	
6.284084863133002E+005	-2.349447939012283E+001	9.788783999328643E+001	
6.325260048480327E+005	-2.341124017764222E+001	9.747308285405354E+001	
6.366705025837995E+005	-2.333208307734807E+001	9.705051546426016E+001	
6.408421562963169E+005	-2.324176948702962E+001	9.681590585558011E+001	
6.450411439195880E+005	-2.316243637716396E+001	9.625166247796459E+001	
6.492676445534922E+005	-2.307942419849642E+001	9.577221765036455E+001	
6.535218384714247E+005	-2.299517649037634E+001	9.534957581592194E+001	
6.578039071279848E+005	-2.290326066388222E+001	9.506660684988790E+001	
6.621140331667166E+005	-2.282134212063081E+001	9.455942602249780E+001	
6.664524004278985E+005	-2.274331893954582E+001	9.405735693421553E+001	
6.708191939563849E+005	-2.265631633242691E+001	9.362829698209890E+001	
6.752146000094990E+005	-2.256836415139427E+001	9.328620876328948E+001	
6.796388060649771E+005	-2.248621597009932E+001	9.273275524226685E+001	
6.840920008289651E+005	-2.239518359110464E+001	9.227931904600349E+001	
6.885743742440676E+005	-2.231264215246768E+001	9.187717578673265E+001	
6.930861174974493E+005	-2.222444778134432E+001	9.142393499631136E+001	
6.976274230289898E+005	-2.213585842881564E+001	9.137786195337851E+001	
7.021984845394918E+005	-2.204711823293004E+001	9.055670273800158E+001	
7.067994969989432E+005	-2.196666596300458E+001	9.011427487454706E+001	
7.114306566548328E+005	-2.188202691765901E+001	8.964470780652998E+001	
7.160921610405211E+005	-2.178749693244305E+001	8.925121729125985E+001	
7.207842089836659E+005	-2.169448300411300E+001	8.874451047067363E+001	
7.255070006147025E+005	-2.161224455098012E+001	8.828000110972822E+001	
7.302607373753800E+005	-2.152251019678846E+001	8.778311849696870E+001	
7.350456220273539E+005	-2.142264601167835E+001	8.778287837378788E+001	
7.398618586608336E+005	-2.133462618357259E+001	8.717941131236107E+001	
7.447096527032884E+005	-2.124705860220988E+001	8.643520802091014E+001	
7.495892109282091E+005	-2.115736146508625E+001	8.593108461372965E+001	
7.545007414639277E+005	-2.106746344851363E+001	8.550495119001991E+001	
7.594444538024946E+005	-2.096621217943683E+001	8.499935106721128E+001	
7.644205588086142E+005	-2.087801891155328E+001	8.452442262839200E+001	
7.694292687286388E+005	-2.078437725714024E+001	8.404278688047550E+001	
7.744707971996219E+005	-2.068638006373059E+001	8.357591069596099E+001	
7.795453592584301E+005	-2.058790897341361E+001	8.336183761812352E+001	
7.846531713509152E+005	-2.049204804726729E+001	8.250148418810707E+001	
7.897944513411465E+005	-2.040643240725981E+001	8.206151037653700E+001	
7.949694185207030E+005	-2.030709769855232E+001	8.149041710385279E+001	
8.001782936180272E+005	-2.020247992297071E+001	8.107935035990654E+001	
8.054212988078399E+005	-2.010406973996517E+001	8.050902958824480E+001	
8.106986577206160E+005	-2.000188632628071E+001	7.997165718254732E+001	
8.160105954521240E+005	-1.990176366416950E+001	7.944044488098032E+001	
8.213573385730264E+005	-1.980077573856064E+001	7.909443109884876E+001	
8.267391151385435E+005	-1.969743320208928E+001	7.835975104487864E+001	
8.321561546981814E+005	-1.958984556433582E+001	7.773532451758463E+001	
8.376086883055224E+005	-1.948811811296309E+001	7.722452345325095E+001	
8.430969485280803E+005	-1.938928359500940E+001	7.688563828314798E+001	
8.486211694572198E+005	-1.926327725058547E+001	7.620040524378626E+001	
8.541815867181420E+005	-1.918726494266201E+001	7.548078685545708E+001	
8.597784374799342E+005	-1.907669043861674E+001	7.500370028835978E+001	
8.654119604656852E+005	-1.895443372783954E+001	7.436697608117602E+001	
8.710823959626689E+005	-1.883778106942240E+001	7.392866767916688E+001	
8.767899858325921E+005	-1.872876691639334E+001	7.311653448759451E+001	
8.825349735219113E+005	-1.861298478782080E+001	7.240733305254534E+001	
8.883176040722162E+005	-1.851493396918558E+001	7.181721155654743E+001	
8.941381241306819E+005	-1.839050471659256E+001	7.119840905152394E+001	
8.999967819605883E+005	-1.825616003281321E+001	7.049686329744654E+001	
9.058938274519104E+005	-1.815494546904480E+001	6.986081923322553E+001	
9.118295121319760E+005	-1.802274968367981E+001	6.911980666112389E+001	
9.178040891761945E+005	-1.789978873926175E+001	6.864157523896355E+001	
9.238178134188557E+005	-1.776980990617997E+001	6.770668899761857E+001	
9.298709413639989E+005	-1.764863832685145E+001	6.687562392314793E+001	
9.359637311963543E+005	-1.751477741811087E+001	6.619214640134440E+001	
9.420964427923544E+005	-1.739033082546999E+001	6.537457996768566E+001	
9.482693377312193E+005	-1.725114604697125E+001	6.448155354756894E+001	
