# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
5.000000000000000E+005	-2.618789452248585E+001	1.133218812131624E+002	
5.032761480982608E+005	-2.612738523743362E+001	1.128384684534943E+002	
5.065737624892451E+005	-2.609638295475548E+001	1.124912234268242E+002	
5.098929838264610E+005	-2.595203640440412E+001	1.117313633260384E+002	
5.132339536850202E+005	-2.587750813136139E+001	1.112039985253601E+002	
5.165968145676763E+005	-2.580031358821215E+001	1.106905632518239E+002	
5.199817099109033E+005	-2.609193938456420E+001	1.117301545672185E+002	
5.233887840910133E+005	-2.574072466587799E+001	1.100725200747957E+002	
5.268181824303150E+005	-2.558006174952154E+001	1.092204293910282E+002	
5.302700512033115E+005	-2.550477162215334E+001	1.087311905132492E+002	
5.337445376429403E+005	-2.545694552769681E+001	1.084792082256425E+002	
5.372417899468524E+005	-2.536305026386230E+001	1.078106615340460E+002	
5.407619572837337E+005	-2.528738187435735E+001	1.073199419977418E+002	
5.443051897996675E+005	-2.521577653476063E+001	1.068732846828883E+002	
5.478716386245388E+005	-2.522525058708423E+001	1.072606603718825E+002	
5.514614558784805E+005	-2.520700616230451E+001	1.071927103270819E+002	
5.550747946783613E+005	-2.500132483578394E+001	1.056004537331586E+002	
5.587118091443173E+005	-2.492585889992219E+001	1.051594351373155E+002	
5.623726544063253E+005	-2.485463181739569E+001	1.047906044310445E+002	
5.660574866108197E+005	-2.477811906276623E+001	1.043234979162505E+002	
5.697664629273524E+005	-2.470380328782838E+001	1.039118782286283E+002	
5.734997415552969E+005	-2.462665167683731E+001	1.035084665484602E+002	
5.772574817305958E+005	-2.455021672909748E+001	1.031050335825369E+002	
5.810398437325528E+005	-2.450832710282299E+001	1.037739633681578E+002	
5.848469888906692E+005	-2.439529605051127E+001	1.023407962735032E+002	
5.886790795915247E+005	-2.431625039681055E+001	1.018674034666039E+002	
5.925362792857041E+005	-2.423668091677286E+001	1.015546968926293E+002	
5.964187524947689E+005	-2.415840016620125E+001	1.013967434712175E+002	
6.003266648182746E+005	-2.407825621230724E+001	1.007246158929077E+002	
6.042601829408339E+005	-2.399749206987760E+001	1.002692980017699E+002	
6.082194746392266E+005	-2.391381403419662E+001	9.986840041653719E+001	
6.122047087895556E+005	-2.383606137154060E+001	9.979898517994280E+001	
6.162160553744501E+005	-2.376252246972511E+001	9.974872418746936E+001	
6.202536854903157E+005	-2.367066571722425E+001	9.861279318258892E+001	
6.243177713546323E+005	-2.358837709122656E+001	9.821318453155605E+001	
6.284084863133002E+005	-2.350266957587332E+001	9.780581618149638E+001	
6.325260048480327E+005	-2.341828859458408E+001	9.738693187846472E+001	
6.366705025837995E+005	-2.334016884732787E+001	9.695956196529025E+001	
6.408421562963169E+005	-2.325601592917608E+001	9.654363759514557E+001	
6.450411439195880E+005	-2.317366159448647E+001	9.624656608347421E+001	
6.492676445534922E+005	-2.306669827907668E+001	9.629259635613769E+001	
6.535218384714247E+005	-2.300042205603792E+001	9.529540280758893E+001	
6.578039071279848E+005	-2.291658101103569E+001	9.484235635532838E+001	
6.621140331667166E+005	-2.282863948408905E+001	9.445892869645381E+001	
6.664524004278985E+005	-2.274325834449986E+001	9.411330015895796E+001	
6.708191939563849E+005	-2.266280434071965E+001	9.356147914100096E+001	
6.752146000094990E+005	-2.257760167257014E+001	9.310630946446447E+001	
6.796388060649771E+005	-2.249195582612368E+001	9.264770745640399E+001	
6.840920008289651E+005	-2.239653299603819E+001	9.225980369918148E+001	
6.885743742440676E+005	-2.231380087920038E+001	9.212987606226204E+001	
6.930861174974493E+005	-2.223088528378095E+001	9.134299514171268E+001	
6.976274230289898E+005	-2.215052662885490E+001	9.091444801511464E+001	
7.021984845394918E+005	-2.205044989903362E+001	9.056111224144259E+001	
7.067994969989432E+005	-2.197227717958466E+001	9.003953627099997E+001	
7.114306566548328E+005	-2.188770657094381E+001	8.957180714953688E+001	
7.160921610405211E+005	-2.179491018564177E+001	8.914265062725262E+001	
7.207842089836659E+005	-2.169538877173277E+001	8.879473396516218E+001	
7.255070006147025E+005	-2.160882010876630E+001	8.878645620577409E+001	
7.302607373753800E+005	-2.152763652866346E+001	8.771764814060958E+001	
7.350456220273539E+005	-2.143507223927034E+001	8.731250607343614E+001	
7.398618586608336E+005	-2.134340156714930E+001	8.684477739165448E+001	
7.447096527032884E+005	-2.125175874104505E+001	8.639299902578030E+001	
7.495892109282091E+005	-2.116289397250748E+001	8.586806591548528E+001	
7.545007414639277E+005	-2.107434715905638E+001	8.538089987844791E+001	
7.594444538024946E+005	-2.097209181379123E+001	8.493140378440840E+001	
7.644205588086142E+005	-2.088111374855925E+001	8.450124341857992E+001	
7.694292687286388E+005	-2.078974713133724E+001	8.397907782308286E+001	
7.744707971996219E+005	-2.069153206130594E+001	8.351093845177680E+001	
7.795453592584301E+005	-2.060211198820434E+001	8.301544228877130E+001	
7.846531713509152E+005	-2.049732219456720E+001	8.243940292701429E+001	
7.897944513411465E+005	-2.040834311718962E+001	8.204713840670117E+001	
7.949694185207030E+005	-2.031234223637378E+001	8.142392511670728E+001	
8.001782936180272E+005	-2.020965112917418E+001	8.096132898646314E+001	
8.054212988078399E+005	-2.010978806849716E+001	8.043994394299590E+001	
8.106986577206160E+005	-2.000317262961958E+001	8.003491903174582E+001	
8.160105954521240E+005	-1.990741333595632E+001	7.937498683236106E+001	
8.213573385730264E+005	-1.981267609865934E+001	7.881002132840368E+001	
8.267391151385435E+005	-1.970442455229140E+001	7.824331310655742E+001	
8.321561546981814E+005	-1.959509911829844E+001	7.767696141825560E+001	
8.376086883055224E+005	-1.949367170974774E+001	7.715677915648818E+001	
8.430969485280803E+005	-1.939927479241838E+001	7.664398260011745E+001	
8.486211694572198E+005	-1.927298660874745E+001	7.595435215560973E+001	
8.541815867181420E+005	-1.918612598941870E+001	7.567804217827710E+001	
8.597784374799342E+005	-1.908104174286882E+001	7.497684725580979E+001	
8.654119604656852E+005	-1.896101138880490E+001	7.423995029580333E+001	
8.710823959626689E+005	-1.884762348198614E+001	7.369331284273899E+001	
8.767899858325921E+005	-1.873410206331610E+001	7.305286255879918E+001	
8.825349735219113E+005	-1.861889844073271E+001	7.233903334832085E+001	
8.883176040722162E+005	-1.852096913478633E+001	7.174807947555937E+001	
8.941381241306819E+005	-1.839644704429136E+001	7.112104233446813E+001	
8.999967819605883E+005	-1.826016974309851E+001	7.045756824125634E+001	
9.058938274519104E+005	-1.815429327602494E+001	7.007249311473768E+001	
9.118295121319760E+005	-1.802670511397162E+001	6.908637054360372E+001	
9.178040891761945E+005	-1.790625261226573E+001	6.841831333755594E+001	
9.238178134188557E+005	-1.777372228972861E+001	6.764752073022794E+001	
9.298709413639989E+005	-1.765248697566162E+001	6.684008689265107E+001	
9.359637311963543E+005	-1.751914994318015E+001	6.613806253508651E+001	
9.420964427923544E+005	-1.739394351114444E+001	6.531667443563332E+001	
9.482693377312193E+005	-1.725644489417459E+001	6.442393928492007E+001	
9.544826793061136E+005	-1.710731356951214E+001	6.363527068950712E+001	
9.607367325353769E+005	-1.695985371286831E+001	6.291091962898077E+001	
9.670317641738271E+005	-1.685853013345376E+001	6.174479651139016E+001	
9.733680427241389E+005	-1.666968677808328E+001	6.097961988423969E+001	
9.797458384482961E+005	-1.653643015371102E+001	5.976444053301502E+001	
9.861654233791188E+005	-1.638801455739318E+001	5.895393158386386E+001	
9.926270713318669E+005	-1.625875832847284E+001	5.800068700180316E+001	
9.991310579159191E+005	-1.608982665309992E+001	5.684265115145054E+001	
1.005677660546528E+006	-1.592612793383931E+001	5.587552823776048E+001	
1.012267158456654E+006	-1.577819073618693E+001	5.454783073417723E+001	
1.018899832708873E+006	-1.562557861790122E+001	5.312941194336654E+001	
1.025575966207368E+006	-1.545907362136471E+001	5.202336962830538E+001	
1.032295843709993E+006	-1.529779456793395E+001	4.994909963615206E+001	
1.039059751840419E+006	-1.518693905225639E+001	4.930816267213066E+001	
1.045867979100362E+006	-1.493821194511871E+001	4.754021818397398E+001	
1.052720815881885E+006	-1.495064664310213E+001	4.721043226629297E+001	
1.059618554479787E+006	-1.481222683581883E+001	4.519169852282937E+001	
1.066561489104068E+006	-1.449666109276281E+001	4.360906226913225E+001	
1.073549915892481E+006	-1.437773484375896E+001	4.257195129058014E+001	
1.080584132923160E+006	-1.426825260836468E+001	4.049680827751516E+001	
1.087664440227334E+006	-1.396543743625965E+001	3.896296073939871E+001	
1.094791139802127E+006	-1.375286998699193E+001	3.668268069226676E+001	
1.101964535623438E+006	-1.357652044651366E+001	3.483165617619673E+001	
1.109184933658906E+006	-1.334811098161632E+001	3.217663466514696E+001	
1.116452641880958E+006	-1.315839840823085E+001	2.947590951046817E+001	
1.123767970279951E+006	-1.302001580761042E+001	2.603534519911310E+001	
1.131131230877389E+006	-1.298564853298035E+001	2.256219953861480E+001	
1.138542737739234E+006	-1.305458436261803E+001	2.067469194841053E+001	
1.146002806989300E+006	-1.282653212520346E+001	1.808163940700304E+001	
1.153511756822739E+006	-1.268662809672122E+001	1.505881612178740E+001	
1.161069907519612E+006	-1.274713603934602E+001	1.065372754510810E+001	
1.168677581458549E+006	-1.282274366412454E+001	9.352289228767418E+000	
