# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
5.000000000000000E+005	-3.590326300904466E+001	8.356000281834400E+001	
5.032761480982608E+005	-3.584582871771504E+001	8.336476335435336E+001	
5.065737624892451E+005	-3.578045710557595E+001	8.311868837475285E+001	
5.098929838264610E+005	-3.572309961061279E+001	8.285507475646286E+001	
5.132339536850202E+005	-3.566479209835461E+001	8.263288691101057E+001	
5.165968145676763E+005	-3.560584876210874E+001	8.239172824110422E+001	
5.199817099109033E+005	-3.554604206369837E+001	8.213303707718974E+001	
5.233887840910133E+005	-3.549677662655286E+001	8.191439944299845E+001	
5.268181824303150E+005	-3.543905895386199E+001	8.165653770600035E+001	
5.302700512033115E+005	-3.539475437882742E+001	8.138044744562892E+001	
5.337445376429403E+005	-3.534042949688220E+001	8.111034540800615E+001	
5.372417899468524E+005	-3.528757432758947E+001	8.088211553538521E+001	
5.407619572837337E+005	-3.523978729667484E+001	8.064284936950195E+001	
5.443051897996675E+005	-3.518046930050220E+001	8.035644330543522E+001	
5.478716386245388E+005	-3.513336805318802E+001	8.008907273703539E+001	
5.514614558784805E+005	-3.508688561841214E+001	7.983402616082148E+001	
5.550747946783613E+005	-3.503461055589980E+001	7.953137692748911E+001	
5.587118091443173E+005	-3.497641454612570E+001	7.923863605977464E+001	
5.623726544063253E+005	-3.493118125017041E+001	7.897042373876253E+001	
5.660574866108197E+005	-3.488898922593928E+001	7.864946388729356E+001	
5.697664629273524E+005	-3.484470915861748E+001	7.831420327217381E+001	
5.734997415552969E+005	-3.479397996605328E+001	7.796766556718789E+001	
5.772574817305958E+005	-3.475718508754977E+001	7.769623491177197E+001	
5.810398437325528E+005	-3.471950893392041E+001	7.736447245805800E+001	
5.848469888906692E+005	-3.468117808731797E+001	7.704281516924772E+001	
5.886790795915247E+005	-3.464835015245388E+001	7.670052838761039E+001	
5.925362792857041E+005	-3.461095114307521E+001	7.638794136451455E+001	
5.964187524947689E+005	-3.457924611348063E+001	7.609256561755817E+001	
6.003266648182746E+005	-3.454896820035313E+001	7.580012882095404E+001	
6.042601829408339E+005	-3.451951035321312E+001	7.548282169405626E+001	
6.082194746392266E+005	-3.448824655807636E+001	7.518034490173014E+001	
6.122047087895556E+005	-3.446333873273424E+001	7.486090456559735E+001	
6.162160553744501E+005	-3.444065025170105E+001	7.461571437958286E+001	
6.202536854903157E+005	-3.441469710418946E+001	7.428083107667420E+001	
6.243177713546323E+005	-3.439528655626077E+001	7.403329850273312E+001	
6.284084863133002E+005	-3.437536932415987E+001	7.372491926151383E+001	
6.325260048480327E+005	-3.433274604589960E+001	7.360992252875619E+001	
6.366705025837995E+005	-3.432795245692829E+001	7.315506409119922E+001	
6.408421562963169E+005	-3.430821686028835E+001	7.291352119460470E+001	
6.450411439195880E+005	-3.429718454204539E+001	7.262811220091511E+001	
6.492676445534922E+005	-3.427500060891003E+001	7.238298217505349E+001	
6.535218384714247E+005	-3.425948244852470E+001	7.210252601142645E+001	
6.578039071279848E+005	-3.424495357531405E+001	7.189613321152433E+001	
6.621140331667166E+005	-3.423740440070908E+001	7.161248576907923E+001	
6.664524004278985E+005	-3.422007218650066E+001	7.142535485850571E+001	
6.708191939563849E+005	-3.420690478020413E+001	7.117687108257645E+001	
6.752146000094990E+005	-3.419184382781922E+001	7.096449208167600E+001	
6.796388060649771E+005	-3.418087548018492E+001	7.075640826275362E+001	
6.840920008289651E+005	-3.414856191246717E+001	7.045630246139729E+001	
6.885743742440676E+005	-3.415146830222773E+001	7.031360329269177E+001	
6.930861174974493E+005	-3.412897444789061E+001	7.004305928623320E+001	
6.976274230289898E+005	-3.412325453728516E+001	6.989696943124230E+001	
7.021984845394918E+005	-3.410043305807505E+001	6.965117162651028E+001	
7.067994969989432E+005	-3.408559351586392E+001	6.946234154696550E+001	
7.114306566548328E+005	-3.408090391348294E+001	6.921569837794986E+001	
7.160921610405211E+005	-3.406894257834538E+001	6.896461087074341E+001	
7.207842089836659E+005	-3.405628880948968E+001	6.870154789331092E+001	
7.255070006147025E+005	-3.405782105684560E+001	6.848226525745736E+001	
7.302607373753800E+005	-3.404715912694169E+001	6.831074508783314E+001	
7.350456220273539E+005	-3.403898164291989E+001	6.802609496727156E+001	
7.398618586608336E+005	-3.402570247015302E+001	6.776179524637843E+001	
7.447096527032884E+005	-3.402685187677004E+001	6.754803947161815E+001	
7.495892109282091E+005	-3.403482145210312E+001	6.732152725090788E+001	
7.545007414639277E+005	-3.402988160869786E+001	6.716690139164442E+001	
7.594444538024946E+005	-3.402338962058862E+001	6.691153753483752E+001	
7.644205588086142E+005	-3.400810766061912E+001	6.677025866175728E+001	
7.694292687286388E+005	-3.401069704556478E+001	6.646076653482075E+001	
7.744707971996219E+005	-3.400975268385675E+001	6.616625276169006E+001	
7.795453592584301E+005	-3.402372718800280E+001	6.598132983967741E+001	
7.846531713509152E+005	-3.403649983818468E+001	6.559604745668003E+001	
7.897944513411465E+005	-3.404771381070705E+001	6.554654942497425E+001	
7.949694185207030E+005	-3.404874304137301E+001	6.520599182518491E+001	
8.001782936180272E+005	-3.406896637848855E+001	6.496093685206223E+001	
8.054212988078399E+005	-3.407545894510231E+001	6.459221463003122E+001	
8.106986577206160E+005	-3.411491607640917E+001	6.428283081393268E+001	
8.160105954521240E+005	-3.413767683477006E+001	6.405843887041753E+001	
8.213573385730264E+005	-3.419658586344459E+001	6.384370080587496E+001	
8.267391151385435E+005	-3.421447617270378E+001	6.369303622834629E+001	
8.321561546981814E+005	-3.423989187886512E+001	6.329097837786841E+001	
8.376086883055224E+005	-3.426603154587522E+001	6.330017443586383E+001	
8.430969485280803E+005	-3.428422414214496E+001	6.290583597566997E+001	
8.486211694572198E+005	-3.435930176851304E+001	6.260407797266284E+001	
8.541815867181420E+005	-3.443575159184833E+001	6.237345630972042E+001	
8.597784374799342E+005	-3.442606575939114E+001	6.236492859785689E+001	
8.654119604656852E+005	-3.453753311177455E+001	6.204069311813863E+001	
8.710823959626689E+005	-3.459715834291897E+001	6.169632449574655E+001	
8.767899858325921E+005	-3.466463609593304E+001	6.164341485571671E+001	
8.825349735219113E+005	-3.476989723850852E+001	6.155525685836607E+001	
8.883176040722162E+005	-3.484513719385566E+001	6.129500802891209E+001	
8.941381241306819E+005	-3.492988971642755E+001	6.163089391694643E+001	
8.999967819605883E+005	-3.499314536146029E+001	6.098519403283978E+001	
9.058938274519104E+005	-3.511193933370983E+001	6.124831940239024E+001	
9.118295121319760E+005	-3.523596144306794E+001	6.098880377386639E+001	
9.178040891761945E+005	-3.539518779709362E+001	6.117287719669486E+001	
9.238178134188557E+005	-3.550917607720792E+001	6.127869239943305E+001	
9.298709413639989E+005	-3.564977266152842E+001	6.144463391096372E+001	
9.359637311963543E+005	-3.577540962978767E+001	6.163637083374355E+001	
9.420964427923544E+005	-3.590861881273814E+001	6.193213705361353E+001	
9.482693377312193E+005	-3.611382294289233E+001	6.220105875064451E+001	
9.544826793061136E+005	-3.629077206846342E+001	6.242078889899000E+001	
9.607367325353769E+005	-3.647396335957204E+001	6.290481956122527E+001	
9.670317641738271E+005	-3.662887870953229E+001	6.401949795622902E+001	
9.733680427241389E+005	-3.688590818571812E+001	6.409605207671670E+001	
9.797458384482961E+005	-3.708877604743537E+001	6.549928846932137E+001	
9.861654233791188E+005	-3.727755431027623E+001	6.604806915978890E+001	
