# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
5.000000000000000E+005	-3.519030342362157E+001	8.296991239477909E+001	
5.032761480982608E+005	-3.512937697783672E+001	8.268413118869209E+001	
5.065737624892451E+005	-3.505393826408036E+001	8.238485984968071E+001	
5.098929838264610E+005	-3.513211001982705E+001	8.230982418844829E+001	
5.132339536850202E+005	-3.496991121032228E+001	8.174228092298034E+001	
5.165968145676763E+005	-3.479503703970087E+001	8.115624167166408E+001	
5.199817099109033E+005	-3.473591687669739E+001	8.080668776519707E+001	
5.233887840910133E+005	-3.469164951664545E+001	8.043920601032620E+001	
5.268181824303150E+005	-3.465051704526395E+001	8.010157024247840E+001	
5.302700512033115E+005	-3.459495499433707E+001	7.968655003721072E+001	
5.337445376429403E+005	-3.454667144727332E+001	7.924393051874560E+001	
5.372417899468524E+005	-3.456505653319175E+001	7.912104731923012E+001	
5.407619572837337E+005	-3.460226661404309E+001	7.907969468937738E+001	
5.443051897996675E+005	-3.437242524681361E+001	7.788574867979503E+001	
5.478716386245388E+005	-3.438202726302665E+001	7.768070616302448E+001	
5.514614558784805E+005	-3.436311335394210E+001	7.724541931361361E+001	
5.550747946783613E+005	-3.408558519859432E+001	7.545455115114109E+001	
5.587118091443173E+005	-3.405714990520274E+001	7.499900937217822E+001	
5.623726544063253E+005	-3.402576047503567E+001	7.454072221134162E+001	
5.660574866108197E+005	-3.400386991032229E+001	7.405782150009596E+001	
5.697664629273524E+005	-3.410918836623309E+001	7.478903067170118E+001	
5.734997415552969E+005	-3.404342444539000E+001	7.405399621801539E+001	
5.772574817305958E+005	-3.398121364441888E+001	7.319932380967931E+001	
5.810398437325528E+005	-3.395947278340051E+001	7.274336542344921E+001	
5.848469888906692E+005	-3.394536422113149E+001	7.227613224416028E+001	
5.886790795915247E+005	-3.393041273955815E+001	7.183857127912894E+001	
5.925362792857041E+005	-3.391818672873275E+001	7.140063159536030E+001	
5.964187524947689E+005	-3.390819324798925E+001	7.101592623316080E+001	
6.003266648182746E+005	-3.393888438075584E+001	7.121864469014375E+001	
6.042601829408339E+005	-3.394154669096051E+001	7.104771343812770E+001	
6.082194746392266E+005	-3.386942410440340E+001	6.956748909151268E+001	
6.122047087895556E+005	-3.388036884528884E+001	6.945344774314961E+001	
6.162160553744501E+005	-3.387690514642778E+001	6.912287027497590E+001	
6.202536854903157E+005	-3.387095871103463E+001	6.849276976251933E+001	
6.243177713546323E+005	-3.387077304675670E+001	6.817031368275454E+001	
6.284084863133002E+005	-3.387375892116475E+001	6.783981480144450E+001	
6.325260048480327E+005	-3.383404982388023E+001	6.759470186691644E+001	
6.366705025837995E+005	-3.387966416205118E+001	6.663943780503121E+001	
6.408421562963169E+005	-3.389654343173590E+001	6.744488676039156E+001	
6.450411439195880E+005	-3.389018769276090E+001	6.626911641027314E+001	
6.492676445534922E+005	-3.388852873154903E+001	6.606259193352807E+001	
6.535218384714247E+005	-3.389372158628957E+001	6.571262153893375E+001	
6.578039071279848E+005	-3.390403650239141E+001	6.547270119662350E+001	
6.621140331667166E+005	-3.391125637207924E+001	6.517112059511875E+001	
6.664524004278985E+005	-3.391429361662316E+001	6.499034077328740E+001	
6.708191939563849E+005	-3.392202854720025E+001	6.462084362585021E+001	
6.752146000094990E+005	-3.392892805621992E+001	6.436115622190445E+001	
6.796388060649771E+005	-3.394414556150946E+001	6.409740377462890E+001	
6.840920008289651E+005	-3.393828531478855E+001	6.380721879697764E+001	
6.885743742440676E+005	-3.395676194939371E+001	6.365116652169541E+001	
6.930861174974493E+005	-3.396133570680984E+001	6.337189813347649E+001	
6.976274230289898E+005	-3.397489448188019E+001	6.321429158043956E+001	
7.021984845394918E+005	-3.397648617744159E+001	6.297664497382041E+001	
7.067994969989432E+005	-3.398850074489075E+001	6.268213241542590E+001	
7.114306566548328E+005	-3.398519359876929E+001	6.309677813891148E+001	
7.160921610405211E+005	-3.400651910875076E+001	6.259516637536907E+001	
7.207842089836659E+005	-3.403902793761221E+001	6.185414709972443E+001	
7.255070006147025E+005	-3.406562785035276E+001	6.164394665573021E+001	
7.302607373753800E+005	-3.407678801055055E+001	6.156263993319532E+001	
7.350456220273539E+005	-3.410081476985073E+001	6.127697580933068E+001	
7.398618586608336E+005	-3.410592664392421E+001	6.099244048331764E+001	
7.447096527032884E+005	-3.412673712647252E+001	6.087569533553265E+001	
7.495892109282091E+005	-3.414862005000489E+001	6.096513838927534E+001	
7.545007414639277E+005	-3.412215747900787E+001	6.183630002590358E+001	
7.594444538024946E+005	-3.409482710012453E+001	6.245005648357083E+001	
7.644205588086142E+005	-3.410203753212301E+001	6.234160847644742E+001	
7.694292687286388E+005	-3.412561380809812E+001	6.210225165091671E+001	
7.744707971996219E+005	-3.414636960675638E+001	6.184979506267989E+001	
7.795453592584301E+005	-3.417210642539364E+001	6.174020363981663E+001	
7.846531713509152E+005	-3.421357280440142E+001	6.142100389467803E+001	
7.897944513411465E+005	-3.426330193712462E+001	6.109553407325338E+001	
7.949694185207030E+005	-3.436794135746121E+001	5.966526568446978E+001	
8.001782936180272E+005	-3.433046344007852E+001	6.044621780202005E+001	
8.054212988078399E+005	-3.435555998961402E+001	6.018688427810537E+001	
8.106986577206160E+005	-3.440420504858778E+001	6.005083401520341E+001	
8.160105954521240E+005	-3.444251916773437E+001	5.986517399005119E+001	
8.213573385730264E+005	-3.451442303237950E+001	5.972018983342436E+001	
8.267391151385435E+005	-3.454555211806617E+001	5.971657892961543E+001	
8.321561546981814E+005	-3.457865839398486E+001	5.939935724795279E+001	
8.376086883055224E+005	-3.467803367965808E+001	5.888570772150109E+001	
8.430969485280803E+005	-3.472889088533336E+001	5.829290149037534E+001	
8.486211694572198E+005	-3.481397969316549E+001	5.810365728856004E+001	
8.541815867181420E+005	-3.481043925704753E+001	5.883037392135339E+001	
8.597784374799342E+005	-3.476016610559633E+001	5.935339398906632E+001	
8.654119604656852E+005	-3.486808891085023E+001	5.908581710234972E+001	
8.710823959626689E+005	-3.492945783459194E+001	5.880129598276002E+001	
8.767899858325921E+005	-3.500545906035615E+001	5.881746811511288E+001	
8.825349735219113E+005	-3.511436328160878E+001	5.872660464276635E+001	
8.883176040722162E+005	-3.520655606684261E+001	5.842037344915011E+001	
8.941381241306819E+005	-3.531930416220565E+001	5.861368092268249E+001	
8.999967819605883E+005	-3.537887416286209E+001	5.802978931626224E+001	
9.058938274519104E+005	-3.550704247570128E+001	5.831187880595299E+001	
9.118295121319760E+005	-3.563671946242413E+001	5.809404513627896E+001	
9.178040891761945E+005	-3.580530338106166E+001	5.831535854953322E+001	
9.238178134188557E+005	-3.593093721070780E+001	5.846584768830626E+001	
9.298709413639989E+005	-3.608258702093968E+001	5.859361051901086E+001	
9.359637311963543E+005	-3.635034711834371E+001	5.787450982189172E+001	
9.420964427923544E+005	-3.649634355793169E+001	5.819036997401677E+001	
