# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
5.000000000000000E+005	-3.583807750487648E+001	8.527313784331089E+001	
5.032761480982608E+005	-3.577555369650703E+001	8.512645957223656E+001	
5.065737624892451E+005	-3.570013755756386E+001	8.491617038944720E+001	
5.098929838264610E+005	-3.564362944140810E+001	8.474775861369844E+001	
5.132339536850202E+005	-3.558227407166086E+001	8.448703174886776E+001	
5.165968145676763E+005	-3.552172126306702E+001	8.421878441202247E+001	
5.199817099109033E+005	-3.546121559175792E+001	8.403441562985353E+001	
5.233887840910133E+005	-3.540283284006699E+001	8.376831654325062E+001	
5.268181824303150E+005	-3.534614906069501E+001	8.352493126471691E+001	
5.302700512033115E+005	-3.527940853447148E+001	8.326905523900351E+001	
5.337445376429403E+005	-3.522438569789635E+001	8.305618894486871E+001	
5.372417899468524E+005	-3.517073090967794E+001	8.276426749084131E+001	
5.407619572837337E+005	-3.511790391262193E+001	8.255980426040034E+001	
5.443051897996675E+005	-3.505877987628364E+001	8.226573642848381E+001	
5.478716386245388E+005	-3.501086645618228E+001	8.210512828181105E+001	
5.514614558784805E+005	-3.495346002150009E+001	8.179223137509744E+001	
5.550747946783613E+005	-3.489233556865222E+001	8.151416481436607E+001	
5.587118091443173E+005	-3.483790041292756E+001	8.126971142259647E+001	
5.623726544063253E+005	-3.478919021754525E+001	8.095865605506404E+001	
5.660574866108197E+005	-3.473043424753966E+001	8.065137099180727E+001	
5.697664629273524E+005	-3.467902169526867E+001	8.033042040009769E+001	
5.734997415552969E+005	-3.463455897189284E+001	8.004449157839808E+001	
5.772574817305958E+005	-3.458431787946212E+001	7.978761097403030E+001	
5.810398437325528E+005	-3.454341090328442E+001	7.941969771898965E+001	
5.848469888906692E+005	-3.449815901600409E+001	7.912003642635831E+001	
5.886790795915247E+005	-3.445783423298620E+001	7.876960071546472E+001	
5.925362792857041E+005	-3.440694308891526E+001	7.849065452044968E+001	
5.964187524947689E+005	-3.437552746124912E+001	7.817972570019650E+001	
6.003266648182746E+005	-3.433328903163475E+001	7.789500280525482E+001	
6.042601829408339E+005	-3.430039998662063E+001	7.758246774751598E+001	
6.082194746392266E+005	-3.426432978781902E+001	7.727476854238532E+001	
6.122047087895556E+005	-3.423468441539121E+001	7.698701959361021E+001	
6.162160553744501E+005	-3.420199799069849E+001	7.669068589775763E+001	
6.202536854903157E+005	-3.416870632386709E+001	7.641742529257522E+001	
6.243177713546323E+005	-3.413856734564276E+001	7.612702711779924E+001	
6.284084863133002E+005	-3.411723083420664E+001	7.580976241330215E+001	
6.325260048480327E+005	-3.406877644954865E+001	7.569433927012967E+001	
6.366705025837995E+005	-3.406051852460385E+001	7.524384771009335E+001	
6.408421562963169E+005	-3.403165103119038E+001	7.500918883214786E+001	
6.450411439195880E+005	-3.400951443126850E+001	7.470916148036851E+001	
6.492676445534922E+005	-3.398737031503202E+001	7.448790109572376E+001	
6.535218384714247E+005	-3.396078721089913E+001	7.424356874311125E+001	
6.578039071279848E+005	-3.394314465860668E+001	7.391553868092916E+001	
6.621140331667166E+005	-3.391402334610967E+001	7.368395996267287E+001	
6.664524004278985E+005	-3.389820866946706E+001	7.351188760848045E+001	
6.708191939563849E+005	-3.387852744582906E+001	7.326501552049489E+001	
6.752146000094990E+005	-3.385837076729035E+001	7.305021739517026E+001	
6.796388060649771E+005	-3.384151854933367E+001	7.284622145262890E+001	
6.840920008289651E+005	-3.380485259678837E+001	7.259897654915086E+001	
6.885743742440676E+005	-3.379504674183549E+001	7.243065515629061E+001	
6.930861174974493E+005	-3.377209356896201E+001	7.215626697974675E+001	
6.976274230289898E+005	-3.375209854056003E+001	7.203710787267124E+001	
7.021984845394918E+005	-3.372438059123024E+001	7.179474184080999E+001	
7.067994969989432E+005	-3.370409076765041E+001	7.159312922704164E+001	
7.114306566548328E+005	-3.368793095288240E+001	7.133581328259808E+001	
7.160921610405211E+005	-3.366260701640146E+001	7.111370492175765E+001	
7.207842089836659E+005	-3.364071933372632E+001	7.086638251063626E+001	
7.255070006147025E+005	-3.363055773505403E+001	7.065992711172410E+001	
7.302607373753800E+005	-3.361006786924568E+001	7.052265081033481E+001	
7.350456220273539E+005	-3.359001326067303E+001	7.011059165937360E+001	
7.398618586608336E+005	-3.355962770691485E+001	6.985922039271013E+001	
7.447096527032884E+005	-3.354606668610249E+001	6.972689575933248E+001	
7.495892109282091E+005	-3.354644345329611E+001	6.949186592267915E+001	
7.545007414639277E+005	-3.353445122601001E+001	6.937500990871882E+001	
7.594444538024946E+005	-3.350462296700335E+001	6.914258029883648E+001	
7.644205588086142E+005	-3.347428380492905E+001	6.900687684686515E+001	
7.694292687286388E+005	-3.346600320318832E+001	6.868207932710763E+001	
7.744707971996219E+005	-3.344899282271338E+001	6.839649485835001E+001	
7.795453592584301E+005	-3.344445342547286E+001	6.823140825344329E+001	
7.846531713509152E+005	-3.343304200063983E+001	6.785892636450751E+001	
7.897944513411465E+005	-3.343507806904951E+001	6.770864097357412E+001	
7.949694185207030E+005	-3.342744005411434E+001	6.750399738560607E+001	
8.001782936180272E+005	-3.340857841777827E+001	6.724873864098586E+001	
8.054212988078399E+005	-3.340065626856708E+001	6.684816245827713E+001	
8.106986577206160E+005	-3.341566147228241E+001	6.655872790068172E+001	
8.160105954521240E+005	-3.341509875021365E+001	6.628212105849104E+001	
8.213573385730264E+005	-3.345469329637079E+001	6.587269775343256E+001	
8.267391151385435E+005	-3.345428067117830E+001	6.571445311848412E+001	
8.321561546981814E+005	-3.344409397849827E+001	6.540053695707847E+001	
8.376086883055224E+005	-3.346431188373472E+001	6.531312523383022E+001	
8.430969485280803E+005	-3.345156318604187E+001	6.500520142252806E+001	
8.486211694572198E+005	-3.348923576562522E+001	6.458105191140642E+001	
8.541815867181420E+005	-3.354330144439001E+001	6.431459121812434E+001	
8.597784374799342E+005	-3.351462548836469E+001	6.423669865951757E+001	
8.654119604656852E+005	-3.358190280932661E+001	6.380801619156302E+001	
8.710823959626689E+005	-3.360934590101445E+001	6.349112033205067E+001	
8.767899858325921E+005	-3.365741825339845E+001	6.331507263025448E+001	
8.825349735219113E+005	-3.371323597058450E+001	6.307392411004499E+001	
8.883176040722162E+005	-3.375988763581130E+001	6.276450550810404E+001	
8.941381241306819E+005	-3.382508976347449E+001	6.300008076572824E+001	
8.999967819605883E+005	-3.384658336152078E+001	6.236085359813276E+001	
9.058938274519104E+005	-3.394326100140103E+001	6.242978663517419E+001	
9.118295121319760E+005	-3.401527155715429E+001	6.200633899429661E+001	
9.178040891761945E+005	-3.414967587330771E+001	6.196391496503461E+001	
9.238178134188557E+005	-3.422183008444200E+001	6.191599189468901E+001	
9.298709413639989E+005	-3.431002533508763E+001	6.190644594402806E+001	
9.359637311963543E+005	-3.439380966041860E+001	6.192408482074870E+001	
9.420964427923544E+005	-3.448749357679036E+001	6.207336952742055E+001	
9.482693377312193E+005	-3.461974991981678E+001	6.192837114569018E+001	
9.544826793061136E+005	-3.474061716070733E+001	6.196236376023247E+001	
9.607367325353769E+005	-3.487744458993870E+001	6.202967347066439E+001	
9.670317641738271E+005	-3.501611819727218E+001	6.280180879399076E+001	
9.733680427241389E+005	-3.516066595145959E+001	6.237213604240271E+001	
9.797458384482961E+005	-3.529575615966407E+001	6.312392541839654E+001	
9.861654233791188E+005	-3.545491418202889E+001	6.315137991437138E+001	
9.926270713318669E+005	-3.563249753666061E+001	6.373782562951886E+001	
9.991310579159191E+005	-3.580264675001336E+001	6.410312671213833E+001	
1.005677660546528E+006	-3.601252084138509E+001	6.435701192567322E+001	
1.012267158456654E+006	-3.623709799884198E+001	6.522665425399077E+001	
1.018899832708873E+006	-3.645537808253548E+001	6.714336532573364E+001	
1.025575966207368E+006	-3.669299973150872E+001	6.765497377886098E+001	
1.032295843709993E+006	-3.713532368104482E+001	7.041909775201992E+001	
1.039059751840419E+006	-3.715305832472831E+001	7.156697877880109E+001	
1.045867979100362E+006	-3.770907029624312E+001	7.361989680685090E+001	
1.052720815881885E+006	-3.754437909349482E+001	7.424865761369321E+001	
1.059618554479787E+006	-3.778455054572649E+001	7.765737292154208E+001	
1.066561489104068E+006	-3.828817786436662E+001	7.991115301080072E+001	
1.073549915892481E+006	-3.837023355852580E+001	8.332137670340458E+001	
1.080584132923160E+006	-3.870008084902983E+001	8.688054798595024E+001	
1.087664440227334E+006	-3.880460857172073E+001	9.141029798501249E+001	
1.094791139802127E+006	-3.916822931314991E+001	9.707112259032220E+001	
1.101964535623438E+006	-3.912726945019077E+001	1.032896359385592E+002	
1.109184933658906E+006	-3.859501171740902E+001	1.097034365215491E+002	
1.116452641880958E+006	-3.832687437466686E+001	1.151917388845053E+002	
1.123767970279951E+006	-3.743037196854846E+001	1.209051783545241E+002	
1.131131230877389E+006	-3.651526097299694E+001	1.254865524822044E+002	
1.138542737739234E+006	-3.593474806658802E+001	1.243291365443433E+002	
1.146002806989300E+006	-3.528329376961776E+001	1.282417279975095E+002	
1.153511756822739E+006	-3.475096069722849E+001	1.313790797344341E+002	
1.161069907519612E+006	-3.362706912594821E+001	1.325258179686850E+002	
1.168677581458549E+006	-3.340200069477184E+001	1.312295379616974E+002	
1.176335103130500E+006	-3.248978748572877E+001	1.343911020118872E+002	
1.184042799152576E+006	-3.211313509357768E+001	1.338372292178306E+002	
1.191800998281983E+006	-3.132024695178085E+001	1.341285544431498E+002	
