# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
4.000000000000000E+005	-3.078004738640641E+001	1.169735378077476E+001	
4.032318620877722E+005	-3.083019150160287E+001	1.030972582973820E+001	
4.064898365069303E+005	-3.085633020478842E+001	8.858535006943658E+000	
4.097741342361089E+005	-3.089072971250162E+001	7.320660727941292E+000	
4.130849679585773E+005	-3.090590025426554E+001	5.729291868621382E+000	
4.164225520760121E+005	-3.092073080198327E+001	4.105107262708724E+000	
4.197871027223816E+005	-3.097778212006086E+001	2.357234236697919E+000	
4.231788377779421E+005	-3.106945387072936E+001	5.284065997350785E-001	
4.265979768833472E+005	-3.108628562769557E+001	-1.347486017284454E+000	
4.300447414538711E+005	-3.114527914411019E+001	-3.313436412773624E+000	
4.335193546937475E+005	-3.131037832890516E+001	-5.403721586299775E+000	
4.370220416106230E+005	-3.143496323746295E+001	-7.484676318280346E+000	
4.405530290301284E+005	-3.160273277774468E+001	-9.729335231721493E+000	
4.441125456105676E+005	-3.171181171029821E+001	-1.197138794890014E+001	
4.477008218577246E+005	-3.187849280336384E+001	-1.436401746908536E+001	
4.513180901397906E+005	-3.215057329521027E+001	-1.685102259817332E+001	
4.549645847024120E+005	-3.237846515903738E+001	-1.927015251553038E+001	
4.586405416838588E+005	-3.267503305353326E+001	-2.186150988059035E+001	
4.623461991303172E+005	-3.306508097658968E+001	-2.454407998200206E+001	
4.660817970113043E+005	-3.336196454748404E+001	-2.730452433150776E+001	
4.698475772352082E+005	-3.375325694699667E+001	-3.001498305816180E+001	
4.736437836649534E+005	-3.424784758307409E+001	-3.282125917212669E+001	
4.774706621337927E+005	-3.473691019670189E+001	-3.569309729553666E+001	
4.813284604612269E+005	-3.530471248135726E+001	-3.854582659679004E+001	
4.852174284690529E+005	-3.596171941621778E+001	-4.149451508372830E+001	
4.891378179975415E+005	-3.678625615473131E+001	-4.454935015428303E+001	
4.930898829217462E+005	-3.752529274214527E+001	-4.745102876691247E+001	
4.970738791679432E+005	-3.846156018688375E+001	-5.043210536069196E+001	
5.010900647302050E+005	-3.950554296851527E+001	-5.353185921341096E+001	
5.051386996871071E+005	-4.076540106206556E+001	-5.680782126408320E+001	
5.092200462185704E+005	-4.200324704601246E+001	-5.983387566879436E+001	
5.133343686228389E+005	-4.361593425374966E+001	-6.306564812505658E+001	
5.174819333335954E+005	-4.560968253188123E+001	-6.684670921574544E+001	
5.216630089372151E+005	-4.813558751809421E+001	-7.144853053053956E+001	
5.258778661901585E+005	-5.130117905367701E+001	-7.773159093287615E+001	
5.301267780365048E+005	-5.608815462243877E+001	-8.919213123106107E+001	
5.344100196256272E+005	-6.351816850907610E+001	-1.341634023071490E+002	
5.387278683300114E+005	-5.945142638587913E+001	1.426215224952832E+002	
5.430806037632166E+005	-5.415928107476924E+001	1.241121420119962E+002	
5.474685077979836E+005	-5.045528678453237E+001	1.161705296895991E+002	
5.518918645844874E+005	-4.816943543330751E+001	1.120816738650270E+002	
5.563509605687386E+005	-4.599773770233913E+001	1.090901320162570E+002	
5.608460845111330E+005	-4.461759541002652E+001	1.064237230928768E+002	
5.653775275051505E+005	-4.332700377718543E+001	1.039595458516577E+002	
5.699455829962062E+005	-4.219950659075957E+001	1.018706328411355E+002	
5.745505468006529E+005	-4.130817568129770E+001	1.000891572047883E+002	
5.791927171249373E+005	-4.051883267095509E+001	9.828121932873250E+001	
5.838723945849119E+005	-3.996352910409809E+001	9.657419386801924E+001	
5.885898822253012E+005	-3.938062516905637E+001	9.526821396059400E+001	
5.933454855393268E+005	-3.873163184072166E+001	9.407774551437009E+001	
5.981395124884901E+005	-3.819438420682640E+001	9.266451595606380E+001	
6.029722735225153E+005	-3.776633802607388E+001	9.135968940713829E+001	
6.078440815994534E+005	-3.737671678840729E+001	9.020877195868269E+001	
6.127552522059482E+005	-3.698697352809446E+001	8.907015753195861E+001	
6.177061033776675E+005	-3.665232022767957E+001	8.792982314831987E+001	
6.226969557198969E+005	-3.635667377932656E+001	8.684202675357928E+001	
6.277281324283027E+005	-3.607169940840730E+001	8.589919995594885E+001	
6.327999593098604E+005	-3.575084119742058E+001	8.503586881643221E+001	
6.379127648039537E+005	-3.553687657713233E+001	8.413412888357347E+001	
6.430668800036432E+005	-3.528126668204037E+001	8.333797274182169E+001	
6.482626386771075E+005	-3.504829196506235E+001	8.261826805206495E+001	
6.535003772892568E+005	-3.483453564892569E+001	8.183061148240255E+001	
6.587804350235217E+005	-3.462666662434521E+001	8.113563831074168E+001	
6.641031538038182E+005	-3.443281772053847E+001	8.046136120036198E+001	
6.694688783166894E+005	-3.422945726707696E+001	7.980570947770744E+001	
6.748779560336270E+005	-3.405931780080346E+001	7.920838919589748E+001	
6.803307372335726E+005	-3.389303644518462E+001	7.860474440371689E+001	
6.858275750256009E+005	-3.372379559549091E+001	7.798284777331720E+001	
6.913688253717858E+005	-3.356752741606884E+001	7.738537090804464E+001	
6.969548471102525E+005	-3.341125578845438E+001	7.688411097100314E+001	
7.025860019784141E+005	-3.328353232440537E+001	7.629459362552585E+001	
7.082626546363978E+005	-3.315099646630630E+001	7.581946876887166E+001	
7.139851726906585E+005	-3.301011300771130E+001	7.540195253610723E+001	
7.197539267177845E+005	-3.287459794961592E+001	7.495301483332905E+001	
7.255692902884954E+005	-3.274687588812007E+001	7.451979030007252E+001	
7.314316399918333E+005	-3.261216454107252E+001	7.407834171835641E+001	
7.373413554595498E+005	-3.249821329174208E+001	7.361903383359881E+001	
7.432988193906905E+005	-3.238752027644346E+001	7.325568594138632E+001	
7.493044175763771E+005	-3.226604129014360E+001	7.286148278425182E+001	
7.553585389247903E+005	-3.215807046916101E+001	7.246117551120867E+001	
7.614615754863553E+005	-3.206063699106605E+001	7.208566587422718E+001	
7.676139224791294E+005	-3.195687908657460E+001	7.171992567012633E+001	
7.738159783143954E+005	-3.186324953280135E+001	7.135772618195237E+001	
7.800681446224620E+005	-3.177318087923552E+001	7.107382775332918E+001	
7.863708262786723E+005	-3.167877555332333E+001	7.082137806057372E+001	
7.927244314296226E+005	-3.157585000606605E+001	7.056953841091928E+001	
7.991293715195929E+005	-3.146944734568068E+001	7.033573169910088E+001	
8.055860613171913E+005	-3.135625959714099E+001	7.001920341181982E+001	
8.120949189422132E+005	-3.126054557634959E+001	6.974639369524033E+001	
