# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Mem19[Trc9]_S21	ang:Mem19[Trc9]_S21	
5.000000000000000E+005	-3.169374971331946E+001	2.928032615760302E+001	
5.014716281114597E+005	-3.168492653346338E+001	2.905105640200118E+001	
5.029475876015163E+005	-3.167232188347284E+001	2.882034748198025E+001	
5.044278912185268E+005	-3.165993567890230E+001	2.856299099204961E+001	
5.059125517483699E+005	-3.164923158240837E+001	2.828817256884080E+001	
5.074015820145563E+005	-3.164170112307273E+001	2.807370406630395E+001	
5.088949948783399E+005	-3.163335837106450E+001	2.779857499952362E+001	
5.103928032388281E+005	-3.162202793808828E+001	2.754434661243890E+001	
5.118950200330942E+005	-3.161866629036604E+001	2.724664758450513E+001	
5.134016582362881E+005	-3.160970178725840E+001	2.700749104554628E+001	
5.149127308617492E+005	-3.160303493189912E+001	2.671977479259232E+001	
5.164282509611185E+005	-3.159180606157740E+001	2.644729503163225E+001	
5.179482316244512E+005	-3.158836643865639E+001	2.616474313189193E+001	
5.194726859803301E+005	-3.158446420274647E+001	2.589330845738003E+001	
5.210016271959784E+005	-3.157135701506526E+001	2.561725146445374E+001	
5.225350684773741E+005	-3.156970057079963E+001	2.529776745901583E+001	
5.240730230693638E+005	-3.156074709645979E+001	2.502566076939509E+001	
5.256155042557769E+005	-3.155265034590801E+001	2.472011777944727E+001	
5.271625253595406E+005	-3.155478605000658E+001	2.442055189963858E+001	
5.287140997427950E+005	-3.154642279795887E+001	2.412486161024512E+001	
5.302702408070082E+005	-3.152727097635138E+001	2.380790197589061E+001	
5.318309619930924E+005	-3.152397327517192E+001	2.348385859251532E+001	
5.333962767815199E+005	-3.152558447690013E+001	2.314112471233027E+001	
5.349661986924391E+005	-3.152891230183542E+001	2.282667581739671E+001	
5.365407412857922E+005	-3.151894588552629E+001	2.253852992429560E+001	
5.381199181614314E+005	-3.151348382766119E+001	2.220231221063298E+001	
5.397037429592370E+005	-3.151347648368295E+001	2.187585289910282E+001	
5.412922293592347E+005	-3.150404779096787E+001	2.153083017060032E+001	
5.428853910817142E+005	-3.149183154846729E+001	2.117761659922054E+001	
5.444832418873475E+005	-3.148448278006864E+001	2.083943544624418E+001	
5.460857955773078E+005	-3.148740854930983E+001	2.047840186601573E+001	
5.476930659933887E+005	-3.148535558753490E+001	2.011628336212552E+001	
5.493050670181236E+005	-3.149681341025782E+001	1.973933852913179E+001	
5.509218125749058E+005	-3.150882626439021E+001	1.941764550001630E+001	
5.525433166281090E+005	-3.150539773074616E+001	1.901649019331585E+001	
5.541695931832072E+005	-3.150838792548752E+001	1.864361173195204E+001	
5.558006562868964E+005	-3.150884884188628E+001	1.824029688739368E+001	
5.574365200272156E+005	-3.149947177938422E+001	1.783220592866244E+001	
5.590771985336683E+005	-3.149850888914919E+001	1.745317083572049E+001	
5.607227059773449E+005	-3.149914956595620E+001	1.705482900979992E+001	
5.623730565710450E+005	-3.150888957646119E+001	1.663648195077620E+001	
5.640282645693999E+005	-3.150818709456565E+001	1.620867729237556E+001	
5.656883442689963E+005	-3.151305515207392E+001	1.580280737184014E+001	
5.673533100084990E+005	-3.152589120912122E+001	1.539815001041710E+001	
5.690231761687754E+005	-3.152218496174798E+001	1.494416897480773E+001	
5.706979571730195E+005	-3.152475427350881E+001	1.453124359335966E+001	
5.723776674868765E+005	-3.154135994621277E+001	1.406006552682072E+001	
5.740623216185673E+005	-3.152736310047207E+001	1.358456659600714E+001	
5.757519341190148E+005	-3.153902536056366E+001	1.312174012749975E+001	
5.774465195819684E+005	-3.153370533502672E+001	1.263778018434156E+001	
5.791460926441313E+005	-3.155301374755965E+001	1.213645574622530E+001	
5.808506679852856E+005	-3.156705232016169E+001	1.168478316985913E+001	
5.825602603284202E+005	-3.157996633603229E+001	1.119359424677228E+001	
5.842748844398574E+005	-3.157977896616512E+001	1.074413336372358E+001	
5.859945551293807E+005	-3.158207249035357E+001	1.018956424717792E+001	
5.877192872503621E+005	-3.159624735830365E+001	9.609915305553855E+000	
5.894490956998916E+005	-3.160388083911343E+001	9.030476100930930E+000	
5.911839954189045E+005	-3.161949393238217E+001	8.500786018467052E+000	
5.929240013923115E+005	-3.164042990223502E+001	7.905805660797453E+000	
5.946691286491278E+005	-3.165984095093977E+001	7.356807596692347E+000	
5.964193922626025E+005	-3.166978267617840E+001	6.757842302538946E+000	
5.981748073503493E+005	-3.168372474025367E+001	6.160282455837515E+000	
5.999353890744768E+005	-3.167736705718392E+001	5.546934356541829E+000	
6.017011526417199E+005	-3.170549237009198E+001	4.973081351412177E+000	
6.034721133035704E+005	-3.173709627926471E+001	4.353901743313299E+000	
6.052482863564096E+005	-3.176081599179081E+001	3.675430665122414E+000	
6.070296871416394E+005	-3.178557524316575E+001	3.033425685175110E+000	
6.088163310458160E+005	-3.181442722917840E+001	2.350045874146292E+000	
6.106082335007816E+005	-3.184279968814903E+001	1.739813671846267E+000	
6.124054099837986E+005	-3.186921854153703E+001	1.083880153688595E+000	
6.142078760176830E+005	-3.189814088121329E+001	3.554224423671162E-001	
6.160156471709382E+005	-3.192219879329682E+001	-3.212000423014503E-001	
6.178287390578898E+005	-3.193765601469975E+001	-1.039348855419043E+000	
6.196471673388204E+005	-3.197210621703494E+001	-1.859677891840307E+000	
6.214709477201048E+005	-3.201203548589472E+001	-2.607395874916858E+000	
6.233000959543457E+005	-3.203760174928092E+001	-3.370345861968171E+000	
6.251346278405096E+005	-3.207685356611115E+001	-4.158161238429180E+000	
6.269745592240637E+005	-3.210613761688857E+001	-5.022758511920152E+000	
6.288199059971120E+005	-3.215139674828873E+001	-5.882037436169258E+000	
6.306706840985337E+005	-3.220385939822465E+001	-6.755042036234003E+000	
6.325269095141196E+005	-3.226793873557623E+001	-7.556772873390005E+000	
6.343885982767111E+005	-3.229804108961484E+001	-8.402777101990333E+000	
6.362557664663382E+005	-3.233847137216857E+001	-9.332054819311587E+000	
6.381284302103586E+005	-3.238469031594258E+001	-1.031843883713457E+001	
6.400066056835970E+005	-3.244045172391269E+001	-1.129153749901045E+001	
6.418903091084849E+005	-3.249793661287663E+001	-1.229841334751630E+001	
6.437795567552001E+005	-3.256492821818106E+001	-1.333173168828365E+001	
6.456743649418083E+005	-3.265277573872216E+001	-1.426356839423132E+001	
