# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
7.000000000000000E+005	-3.152126628619152E+001	4.086033435259056E+001	
7.026725791470498E+005	-3.154639553938269E+001	4.058127701515124E+001	
7.053553621216671E+005	-3.154152381412296E+001	4.030103797290140E+001	
7.080483878817615E+005	-3.154364141295972E+001	3.998233749079822E+001	
7.107516955339829E+005	-3.154106499788918E+001	3.964403263872715E+001	
7.134653243342892E+005	-3.156013922014192E+001	3.940997149344440E+001	
7.161893136885163E+005	-3.156747471404741E+001	3.909888860611896E+001	
7.189237031529503E+005	-3.157606900199765E+001	3.879328885443390E+001	
7.216685324349023E+005	-3.158643057792336E+001	3.847939322052421E+001	
7.244238413932845E+005	-3.158781631226321E+001	3.814348954649737E+001	
7.271896700391894E+005	-3.156139330490193E+001	3.782644573563034E+001	
7.299660585364705E+005	-3.159019511316227E+001	3.755533534029772E+001	
7.327530472023258E+005	-3.153611993959837E+001	3.713576737572946E+001	
7.355506765078831E+005	-3.158921966759131E+001	3.692067374389738E+001	
7.383589870787879E+005	-3.164336929697520E+001	3.666056115301512E+001	
7.411780196957929E+005	-3.158837148687072E+001	3.623315306498407E+001	
7.440078152953510E+005	-3.161994768769512E+001	3.588808396480864E+001	
7.468484149702088E+005	-3.160712217826529E+001	3.556362456417942E+001	
7.496998599700038E+005	-3.168147380215027E+001	3.533186318169346E+001	
7.525621917018638E+005	-3.164588676667153E+001	3.497206898901411E+001	
7.554354517310073E+005	-3.171840649725525E+001	3.470845940015424E+001	
7.583196817813480E+005	-3.172401739906081E+001	3.433836498743991E+001	
7.612149237360997E+005	-3.171559185408450E+001	3.399920123658309E+001	
7.641212196383857E+005	-3.174699627775631E+001	3.375705198109527E+001	
7.670386116918483E+005	-3.171135772811201E+001	3.319101228290958E+001	
7.699671422612621E+005	-3.175091737951011E+001	3.293805661779645E+001	
7.729068538731491E+005	-3.178779825282211E+001	3.258273733010393E+001	
7.758577892163966E+005	-3.180635947328431E+001	3.216318411941921E+001	
7.788199911428765E+005	-3.182135911920773E+001	3.175655157677108E+001	
7.817935026680678E+005	-3.183585622237122E+001	3.133362899742834E+001	
7.847783669716817E+005	-3.186328653546230E+001	3.095195692755445E+001	
7.877746273982879E+005	-3.188010373162842E+001	3.053842794381452E+001	
7.907823274579444E+005	-3.186880311502892E+001	3.007284961398713E+001	
7.938015108268296E+005	-3.189599477838386E+001	2.969481201499026E+001	
7.968322213478759E+005	-3.193769742424688E+001	2.935121319674171E+001	
7.998745030314069E+005	-3.196570929040279E+001	2.881188954932673E+001	
8.029284000557762E+005	-3.197394830807123E+001	2.835906724307571E+001	
8.059939567680092E+005	-3.200782812526263E+001	2.785184220484159E+001	
8.090712176844468E+005	-3.204100228950786E+001	2.740596579635344E+001	
8.121602274913921E+005	-3.206528446532479E+001	2.691676445079380E+001	
8.152610310457588E+005	-3.210119288384544E+001	2.631972857471693E+001	
8.183736733757233E+005	-3.213724774522584E+001	2.588627592901919E+001	
8.214981996813783E+005	-3.216690955454591E+001	2.538842506619081E+001	
8.246346553353888E+005	-3.219628158607694E+001	2.491612040321076E+001	
8.277830858836516E+005	-3.220769517764372E+001	2.426644119415489E+001	
8.309435370459561E+005	-3.227554769793563E+001	2.377837537388619E+001	
8.341160547166488E+005	-3.231869446948812E+001	2.322937763526406E+001	
8.373006849652990E+005	-3.234190213481634E+001	2.244352605526491E+001	
8.404974740373687E+005	-3.236214336530634E+001	2.199223403164859E+001	
8.437064683548834E+005	-3.243799883661370E+001	2.137501316981031E+001	
8.469277145171067E+005	-3.248240224612263E+001	2.087536115536130E+001	
8.501612593012166E+005	-3.252940289391106E+001	2.040897020639061E+001	
8.534071496629852E+005	-3.262390696882812E+001	1.967179500320302E+001	
8.566654327374602E+005	-3.259410838115611E+001	1.905372686706625E+001	
8.599361558396496E+005	-3.265467482089449E+001	1.813199850216064E+001	
8.632193664652085E+005	-3.275729692634349E+001	1.774862287190945E+001	
8.665151122911291E+005	-3.279795655762271E+001	1.686724250159351E+001	
8.698234411764330E+005	-3.282508230150990E+001	1.607108706256728E+001	
8.731444011628662E+005	-3.291238863745933E+001	1.527975843703664E+001	
8.764780404755963E+005	-3.296070887342719E+001	1.448090249879205E+001	
8.798244075239137E+005	-3.304764879205749E+001	1.366018082728651E+001	
8.831835509019335E+005	-3.310805480815588E+001	1.333547354217528E+001	
8.865555193893019E+005	-3.309634877547468E+001	1.195299094034543E+001	
8.899403619519044E+005	-3.317642025854846E+001	1.113542456998122E+001	
8.933381277425767E+005	-3.333173614583165E+001	1.052406010716873E+001	
8.967488661018185E+005	-3.338763047249424E+001	9.342304241811997E+000	
9.001726265585104E+005	-3.349113870812624E+001	8.268426772594317E+000	
9.036094588306323E+005	-3.356372730101921E+001	7.233947510281314E+000	
9.070594128259862E+005	-3.369476191483835E+001	6.646846655409613E+000	
9.105225386429204E+005	-3.376476718845546E+001	5.294977441713908E+000	
9.139988865710575E+005	-3.389915524889139E+001	4.221788961802087E+000	
9.174885070920240E+005	-3.394232536396137E+001	3.239704384120042E+000	
9.209914508801840E+005	-3.411684099955300E+001	2.057949438484896E+000	
9.245077688033747E+005	-3.423398237880320E+001	6.442118748009865E-001	
9.280375119236454E+005	-3.432273638275689E+001	-4.717866284560107E-001	
