# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
9.000000000000000E+005	-3.347288096461482E+001	8.316125677523745E+000	
9.023016534145501E+005	-3.352122368867461E+001	7.957048937922880E+000	
9.046091930607010E+005	-3.362201553911471E+001	7.040563308558304E+000	
9.069226339918583E+005	-3.369093510476338E+001	6.688729833379722E+000	
9.092419912999253E+005	-3.370855121581364E+001	5.918759907094652E+000	
9.115672801154007E+005	-3.379237343493539E+001	5.011217949483591E+000	
9.138985156074782E+005	-3.387294528211432E+001	4.236860076313358E+000	
9.162357129841452E+005	-3.393543254361840E+001	3.657390340667784E+000	
9.185788874922815E+005	-3.397841376501518E+001	2.691558744893913E+000	
9.209280544177597E+005	-3.409865647474628E+001	2.065106201283089E+000	
9.232832290855438E+005	-3.414353206108871E+001	1.400176949678741E+000	
9.256444268597900E+005	-3.428041140830315E+001	4.498967484521318E-001	
9.280116631439468E+005	-3.425995755666243E+001	-4.998180375337801E-001	
9.303849533808553E+005	-3.438772204055131E+001	-1.335453563375584E+000	
9.327643130528498E+005	-3.450246722977148E+001	-1.966991912471475E+000	
9.351497576818594E+005	-3.454617362303927E+001	-3.270900920217849E+000	
9.375413028295086E+005	-3.470677728035994E+001	-4.038925317636353E+000	
9.399389640972189E+005	-3.478455756971728E+001	-5.210185412695376E+000	
9.423427571263113E+005	-3.490863309964485E+001	-5.713616962281658E+000	
9.447526975981073E+005	-3.496025672677087E+001	-6.738500218901632E+000	
9.471688012340319E+005	-3.500089902061444E+001	-7.973945801014527E+000	
9.495910837957161E+005	-3.512416407285120E+001	-9.482946637402252E+000	
9.520195610850991E+005	-3.526166308650717E+001	-1.069396549050358E+001	
9.544542489445325E+005	-3.536810649284621E+001	-1.156625220806637E+001	
9.568951632568826E+005	-3.552183866819975E+001	-1.316386474410596E+001	
9.593423199456345E+005	-3.567806778275071E+001	-1.446041350302379E+001	
9.617957349749960E+005	-3.578836734814167E+001	-1.584172229003357E+001	
9.642554243500015E+005	-3.588813654365178E+001	-1.621523201048788E+001	
9.667214041166167E+005	-3.598381851723340E+001	-1.805274703034328E+001	
9.691936903618431E+005	-3.614314040515997E+001	-2.013260241137130E+001	
9.716722992138229E+005	-3.636800978344152E+001	-2.178604882621096E+001	
9.741572468419444E+005	-3.659316130472568E+001	-2.303921574252808E+001	
9.766485494569473E+005	-3.679645568725663E+001	-2.376797646474527E+001	
9.791462233110284E+005	-3.682720727773862E+001	-2.592823113454069E+001	
9.816502846979481E+005	-3.705390845004055E+001	-2.766712467834715E+001	
9.841607499531361E+005	-3.707068713525979E+001	-3.008421327606791E+001	
9.866776354537981E+005	-3.748831945653733E+001	-3.112797892924931E+001	
9.892009576190232E+005	-3.750803269135554E+001	-3.380026603691796E+001	
9.917307329098899E+005	-3.780067422859768E+001	-3.359070109449245E+001	
9.942669778295747E+005	-3.774024350803737E+001	-3.721931009876643E+001	
9.968097089234591E+005	-3.814323305168588E+001	-3.974367804273949E+001	
9.993589427792373E+005	-3.811348840774296E+001	-4.183409997563038E+001	
1.001914696027025E+006	-3.812223437251379E+001	-4.476428014286512E+001	
