# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
7.000000000000000E+005	-3.098330109226374E+001	5.784696326420927E+001	
7.026725791470498E+005	-3.097123223471511E+001	5.756413256794577E+001	
7.053553621216671E+005	-3.097574467239806E+001	5.725515151583291E+001	
7.080483878817615E+005	-3.096869021895687E+001	5.695401890362935E+001	
7.107516955339829E+005	-3.094999584882419E+001	5.670323299761201E+001	
7.134653243342892E+005	-3.094752085679243E+001	5.641940890708574E+001	
7.161893136885163E+005	-3.095477606041712E+001	5.614515601708502E+001	
7.189237031529503E+005	-3.094208571867318E+001	5.586747544604508E+001	
7.216685324349023E+005	-3.093216389275712E+001	5.559399641431379E+001	
7.244238413932845E+005	-3.092823403661739E+001	5.530614022706525E+001	
7.271896700391894E+005	-3.092912279955763E+001	5.500045407249522E+001	
7.299660585364705E+005	-3.092814947491300E+001	5.473459250941288E+001	
7.327530472023258E+005	-3.092283806442111E+001	5.447853397987829E+001	
7.355506765078831E+005	-3.091478860548060E+001	5.416689847609155E+001	
7.383589870787879E+005	-3.091056364375816E+001	5.390805170039714E+001	
7.411780196957929E+005	-3.090075833067377E+001	5.363125943936030E+001	
7.440078152953510E+005	-3.089238591240752E+001	5.333947414350466E+001	
7.468484149702088E+005	-3.088701647922583E+001	5.304344441976367E+001	
7.496998599700038E+005	-3.088338902568852E+001	5.276578157313302E+001	
7.525621917018638E+005	-3.088987614730467E+001	5.246662886945227E+001	
7.554354517310073E+005	-3.088346855820162E+001	5.219742769765590E+001	
7.583196817813480E+005	-3.088650862655092E+001	5.189483361400057E+001	
7.612149237360997E+005	-3.087816359942684E+001	5.160231890521062E+001	
7.641212196383857E+005	-3.086040674333972E+001	5.132843443939542E+001	
7.670386116918483E+005	-3.085747421109766E+001	5.105449983408770E+001	
7.699671422612621E+005	-3.085359838509274E+001	5.066360889784985E+001	
7.729068538731491E+005	-3.085326910859430E+001	5.041688289580892E+001	
7.758577892163966E+005	-3.085749502062871E+001	5.010175619289527E+001	
7.788199911428765E+005	-3.085788934393042E+001	4.973389255144237E+001	
7.817935026680678E+005	-3.085775155609538E+001	4.940777047368023E+001	
7.847783669716817E+005	-3.086035232172152E+001	4.906013505089229E+001	
7.877746273982879E+005	-3.085502951211728E+001	4.868932776807988E+001	
7.907823274579444E+005	-3.085091253409348E+001	4.835916921004061E+001	
7.938015108268296E+005	-3.085401982847898E+001	4.803934877211948E+001	
7.968322213478759E+005	-3.084433239792078E+001	4.764261824072759E+001	
7.998745030314069E+005	-3.085519723709077E+001	4.737133941623608E+001	
8.029284000557762E+005	-3.084627644891695E+001	4.697069535036888E+001	
8.059939567680092E+005	-3.084537521996245E+001	4.656155561793303E+001	
8.090712176844468E+005	-3.085378389565140E+001	4.618003638427780E+001	
8.121602274913921E+005	-3.086863084342128E+001	4.578558762979971E+001	
8.152610310457588E+005	-3.087144426754199E+001	4.542839219766140E+001	
8.183736733757233E+005	-3.087018395800695E+001	4.499598539737305E+001	
8.214981996813783E+005	-3.088517626973177E+001	4.460499303448409E+001	
8.246346553353888E+005	-3.089013016244757E+001	4.425785573936594E+001	
8.277830858836516E+005	-3.088782563229330E+001	4.390750369079137E+001	
8.309435370459561E+005	-3.089430010039514E+001	4.339943742776541E+001	
8.341160547166488E+005	-3.091601200719000E+001	4.301011252639641E+001	
8.373006849652990E+005	-3.093491307258693E+001	4.266281266725659E+001	
8.404974740373687E+005	-3.093256241080471E+001	4.206097529670957E+001	
8.437064683548834E+005	-3.093493377154954E+001	4.173513083066521E+001	
8.469277145171067E+005	-3.095446415242393E+001	4.122119257687013E+001	
8.501612593012166E+005	-3.096293596586310E+001	4.093555069175580E+001	
8.534071496629852E+005	-3.097169202601986E+001	4.045335858832869E+001	
8.566654327374602E+005	-3.103349517233599E+001	3.992730957741242E+001	
8.599361558396496E+005	-3.100729975364226E+001	3.964941771528923E+001	
8.632193664652085E+005	-3.101966577716534E+001	3.903572240941375E+001	
8.665151122911291E+005	-3.106010737025143E+001	3.874878299482867E+001	
8.698234411764330E+005	-3.108088359633404E+001	3.816618427545352E+001	
8.731444011628662E+005	-3.108127557110678E+001	3.771956470745327E+001	
8.764780404755963E+005	-3.111820770798881E+001	3.716097455452564E+001	
8.798244075239137E+005	-3.111888297469626E+001	3.665053289108857E+001	
8.831835509019335E+005	-3.115517238239939E+001	3.613843278721879E+001	
8.865555193893019E+005	-3.116827757855597E+001	3.589744104460218E+001	
8.899403619519044E+005	-3.119828972532810E+001	3.524640338837604E+001	
8.933381277425767E+005	-3.121243105541321E+001	3.466171022095914E+001	
8.967488661018185E+005	-3.123260315399332E+001	3.416819309745194E+001	
9.001726265585104E+005	-3.121794756759388E+001	3.355081901760561E+001	
9.036094588306323E+005	-3.127957509850805E+001	3.296535687293033E+001	
9.070594128259862E+005	-3.129528325935890E+001	3.233277543820672E+001	
9.105225386429204E+005	-3.136505011141809E+001	3.191862920172396E+001	
9.139988865710575E+005	-3.135805833763721E+001	3.130350908813259E+001	
9.174885070920240E+005	-3.140105594055550E+001	3.056361230331039E+001	
9.209914508801840E+005	-3.140625309478747E+001	3.009424566192489E+001	
9.245077688033747E+005	-3.144692740060176E+001	2.941920757776999E+001	
9.280375119236454E+005	-3.146217861751407E+001	2.874781105816445E+001	
9.315807314979984E+005	-3.149888582383714E+001	2.807008556731875E+001	
9.351374789791340E+005	-3.155030283494668E+001	2.750815707888790E+001	
9.387078060161973E+005	-3.156665529479368E+001	2.666047788673142E+001	
9.422917644555284E+005	-3.160993842407209E+001	2.601710160772184E+001	
9.458894063414149E+005	-3.165912564925399E+001	2.531162594574481E+001	
9.495007839168483E+005	-3.166970357327087E+001	2.464141844105677E+001	
9.531259496242820E+005	-3.170594496484554E+001	2.361809093894102E+001	
9.567649561063933E+005	-3.178374652147081E+001	2.270727570919852E+001	
9.604178562068475E+005	-3.180950883440472E+001	2.193405732516923E+001	
9.640847029710657E+005	-3.187075454157392E+001	2.118621663002854E+001	
