# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
7.000000000000000E+005	-3.081881071393421E+001	6.067154666593744E+001	
7.026725791470498E+005	-3.080178993698297E+001	6.043045067432205E+001	
7.053553621216671E+005	-3.080095164775366E+001	6.015491818449341E+001	
7.080483878817615E+005	-3.079105383685340E+001	5.985802518508912E+001	
7.107516955339829E+005	-3.077217871170080E+001	5.962508140348894E+001	
7.134653243342892E+005	-3.076815444635171E+001	5.936235381218587E+001	
7.161893136885163E+005	-3.076319618638924E+001	5.909004470699080E+001	
7.189237031529503E+005	-3.074948346751447E+001	5.883345535981471E+001	
7.216685324349023E+005	-3.073899699233477E+001	5.855820626158989E+001	
7.244238413932845E+005	-3.073121151268290E+001	5.828896007908602E+001	
7.271896700391894E+005	-3.072546951445694E+001	5.801976174418047E+001	
7.299660585364705E+005	-3.071801089199219E+001	5.778518747511821E+001	
7.327530472023258E+005	-3.070753925871086E+001	5.751369681584553E+001	
7.355506765078831E+005	-3.069782627438474E+001	5.726469262148724E+001	
7.383589870787879E+005	-3.068672260080703E+001	5.701682289184307E+001	
7.411780196957929E+005	-3.067700441427186E+001	5.674387973451549E+001	
7.440078152953510E+005	-3.066253725549791E+001	5.650380675732698E+001	
7.468484149702088E+005	-3.065698926807085E+001	5.621459326632855E+001	
7.496998599700038E+005	-3.065151275039137E+001	5.595738739824152E+001	
7.525621917018638E+005	-3.064635212448635E+001	5.565856287329279E+001	
7.554354517310073E+005	-3.063903357853040E+001	5.539667155284376E+001	
7.583196817813480E+005	-3.062872985728943E+001	5.512144195488907E+001	
7.612149237360997E+005	-3.062091979756271E+001	5.486002664039249E+001	
7.641212196383857E+005	-3.059641856476022E+001	5.460129997594842E+001	
7.670386116918483E+005	-3.059068755315224E+001	5.431638991491583E+001	
7.699671422612621E+005	-3.057529127951405E+001	5.397461560007988E+001	
7.729068538731491E+005	-3.056640126628528E+001	5.370898863813185E+001	
7.758577892163966E+005	-3.056419753415671E+001	5.339872473661747E+001	
7.788199911428765E+005	-3.055758517616552E+001	5.305176361530127E+001	
7.817935026680678E+005	-3.054566192081428E+001	5.272829323997597E+001	
7.847783669716817E+005	-3.053825519331720E+001	5.239083198652423E+001	
7.877746273982879E+005	-3.053301105563303E+001	5.206757404063261E+001	
7.907823274579444E+005	-3.052832798417476E+001	5.176572351253324E+001	
7.938015108268296E+005	-3.052126613006008E+001	5.142262216451100E+001	
7.968322213478759E+005	-3.050340066913006E+001	5.104405860414907E+001	
7.998745030314069E+005	-3.051287827963392E+001	5.078880936415681E+001	
8.029284000557762E+005	-3.049585056079715E+001	5.039495186079611E+001	
8.059939567680092E+005	-3.049517315533403E+001	5.004015781773062E+001	
8.090712176844468E+005	-3.049867722740494E+001	4.968456081220927E+001	
8.121602274913921E+005	-3.049175153503752E+001	4.927477475215601E+001	
8.152610310457588E+005	-3.049169461330446E+001	4.894804114823985E+001	
8.183736733757233E+005	-3.048919446658152E+001	4.854656086519322E+001	
8.214981996813783E+005	-3.050358691454724E+001	4.820283347321060E+001	
8.246346553353888E+005	-3.050440305167956E+001	4.787260548292507E+001	
8.277830858836516E+005	-3.050873671235935E+001	4.755049374829706E+001	
8.309435370459561E+005	-3.050491409408564E+001	4.709858793258039E+001	
8.341160547166488E+005	-3.051883246380064E+001	4.670240641273871E+001	
8.373006849652990E+005	-3.052039032454492E+001	4.634926146123119E+001	
