# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
7.000000000000000E+005	-3.053771201924013E+001	6.357427105591698E+001	
7.026725791470498E+005	-3.052165795805234E+001	6.331715069146847E+001	
7.053553621216671E+005	-3.050982899206431E+001	6.303775696087085E+001	
7.080483878817615E+005	-3.049127133139367E+001	6.278234673327701E+001	
7.107516955339829E+005	-3.047571704289500E+001	6.252991184599603E+001	
7.134653243342892E+005	-3.046726580955526E+001	6.230433374189714E+001	
7.161893136885163E+005	-3.047561806812401E+001	6.197588725562668E+001	
7.189237031529503E+005	-3.046380767675754E+001	6.171382282991920E+001	
7.216685324349023E+005	-3.044726958106641E+001	6.150186894599252E+001	
7.244238413932845E+005	-3.043329861245282E+001	6.123362115137943E+001	
7.271896700391894E+005	-3.041998762590050E+001	6.096729850310633E+001	
7.299660585364705E+005	-3.041512517414436E+001	6.069258103306284E+001	
7.327530472023258E+005	-3.039898898788844E+001	6.045410648508231E+001	
7.355506765078831E+005	-3.038834981944092E+001	6.022432553203728E+001	
7.383589870787879E+005	-3.037714203108386E+001	5.998994379875077E+001	
7.411780196957929E+005	-3.036149111514920E+001	5.972935543663863E+001	
7.440078152953510E+005	-3.032137796967350E+001	5.954358894640103E+001	
7.468484149702088E+005	-3.029634301972303E+001	5.931582232532740E+001	
7.496998599700038E+005	-3.029004651512791E+001	5.903714506295349E+001	
7.525621917018638E+005	-3.028273501178711E+001	5.876876570838769E+001	
7.554354517310073E+005	-3.026910435739577E+001	5.848622576575220E+001	
7.583196817813480E+005	-3.026319806932713E+001	5.823203807009544E+001	
7.612149237360997E+005	-3.024852539460952E+001	5.797356398123446E+001	
7.641212196383857E+005	-3.022309768744992E+001	5.772996123192203E+001	
7.670386116918483E+005	-3.020933532204633E+001	5.742243168082344E+001	
7.699671422612621E+005	-3.018782954497769E+001	5.713532185219458E+001	
7.729068538731491E+005	-3.017623289268807E+001	5.685440783046250E+001	
7.758577892163966E+005	-3.016775737978004E+001	5.656475641068573E+001	
7.788199911428765E+005	-3.015536354273008E+001	5.624941483578881E+001	
7.817935026680678E+005	-3.014327261400139E+001	5.593758377866141E+001	
7.847783669716817E+005	-3.013284272377318E+001	5.561336815342808E+001	
7.877746273982879E+005	-3.012363837776732E+001	5.530264352549840E+001	
7.907823274579444E+005	-3.011507983845706E+001	5.499640777736747E+001	
7.938015108268296E+005	-3.009983114164502E+001	5.469045014882207E+001	
7.968322213478759E+005	-3.008430916925274E+001	5.435191876410514E+001	
7.998745030314069E+005	-3.008655410431182E+001	5.406296905368929E+001	
8.029284000557762E+005	-3.005946425311404E+001	5.374558043671484E+001	
8.059939567680092E+005	-3.006017573683680E+001	5.340439333698227E+001	
8.090712176844468E+005	-3.006259246728453E+001	5.306336718845592E+001	
8.121602274913921E+005	-3.005724356129972E+001	5.268538215261081E+001	
8.152610310457588E+005	-3.003862921719269E+001	5.236539929904052E+001	
8.183736733757233E+005	-3.003523750213217E+001	5.199841937867769E+001	
8.214981996813783E+005	-3.003659812893027E+001	5.166592792791682E+001	
8.246346553353888E+005	-3.002888415110309E+001	5.137191506481362E+001	
8.277830858836516E+005	-3.002277813492272E+001	5.107530124215038E+001	
8.309435370459561E+005	-3.001557231905586E+001	5.066875263048961E+001	
8.341160547166488E+005	-3.002035649215397E+001	5.029515831489873E+001	
8.373006849652990E+005	-3.002149804672564E+001	4.997744427449749E+001	
8.404974740373687E+005	-3.000965511380886E+001	4.956936462156681E+001	
8.437064683548834E+005	-3.001954887316965E+001	4.926768144801292E+001	
8.469277145171067E+005	-3.001208059308571E+001	4.888901558440406E+001	
8.501612593012166E+005	-3.002136208316946E+001	4.863057939271890E+001	
8.534071496629852E+005	-3.002198147738492E+001	4.821851550000428E+001	
8.566654327374602E+005	-3.003598586685614E+001	4.771041241245842E+001	
8.599361558396496E+005	-3.002373200586534E+001	4.757807233966506E+001	
8.632193664652085E+005	-3.002452251009596E+001	4.709400151546132E+001	
8.665151122911291E+005	-3.005042967682932E+001	4.678678625116194E+001	
8.698234411764330E+005	-3.003490733884993E+001	4.629958945255782E+001	
8.731444011628662E+005	-3.002992407105564E+001	4.603631703615431E+001	
8.764780404755963E+005	-3.004364877114378E+001	4.556767774642294E+001	
8.798244075239137E+005	-3.004236741005890E+001	4.526488294008536E+001	
8.831835509019335E+005	-3.005271421578260E+001	4.479292130976395E+001	
8.865555193893019E+005	-3.006719060974947E+001	4.467407873713067E+001	
8.899403619519044E+005	-3.006908114619392E+001	4.410033183726889E+001	
8.933381277425767E+005	-3.006168570504437E+001	4.366148065794945E+001	
8.967488661018185E+005	-3.005987651411656E+001	4.323208202524620E+001	
9.001726265585104E+005	-3.004341102739875E+001	4.294706119978084E+001	
9.036094588306323E+005	-3.007028741360936E+001	4.234346562884741E+001	
9.070594128259862E+005	-3.006932976715252E+001	4.196200234420898E+001	
9.105225386429204E+005	-3.009740339772062E+001	4.143856426671950E+001	
9.139988865710575E+005	-3.010198520452405E+001	4.113471025584841E+001	
9.174885070920240E+005	-3.010347391562287E+001	4.059333944835741E+001	
9.209914508801840E+005	-3.011395831938148E+001	4.032938933911985E+001	
9.245077688033747E+005	-3.012284645863683E+001	3.984461720885136E+001	
9.280375119236454E+005	-3.012006623829959E+001	3.935193581757149E+001	
9.315807314979984E+005	-3.012179839509347E+001	3.880617826314911E+001	
9.351374789791340E+005	-3.013975585182310E+001	3.829820816846595E+001	
9.387078060161973E+005	-3.014091314080638E+001	3.776603023549212E+001	
9.422917644555284E+005	-3.016258284362814E+001	3.731892871779660E+001	
9.458894063414149E+005	-3.017820200392134E+001	3.672805898725772E+001	
9.495007839168483E+005	-3.017065595988520E+001	3.640828034067485E+001	
9.531259496242820E+005	-3.016846081448007E+001	3.561109660952621E+001	
9.567649561063933E+005	-3.017345768315359E+001	3.495732383368508E+001	
9.604178562068475E+005	-3.020120916311275E+001	3.439676243518984E+001	
9.640847029710657E+005	-3.023399431058523E+001	3.381627240648009E+001	
9.677655496469945E+005	-3.027799507944750E+001	3.335378586148065E+001	
9.714604496858798E+005	-3.024513183582439E+001	3.258977905828403E+001	
9.751694567430428E+005	-3.028915285781522E+001	3.188878438942670E+001	
9.788926246786590E+005	-3.032906192269846E+001	3.120261223513189E+001	
9.826300075585404E+005	-3.031335427659754E+001	3.076219674749270E+001	
9.863816596549209E+005	-3.036964668825446E+001	2.990743986396214E+001	
9.901476354472439E+005	-3.038430997312658E+001	2.907646184831948E+001	
9.939279896229539E+005	-3.040748043987650E+001	2.821100790062748E+001	
9.977227770782902E+005	-3.040990166041667E+001	2.778585327607449E+001	
1.001532052919085E+006	-3.046496713542485E+001	2.702503726701336E+001	
1.005355872461561E+006	-3.049493298607752E+001	2.614433293845021E+001	
1.009194291233139E+006	-3.058730610359440E+001	2.492194981293206E+001	
1.013047364973241E+006	-3.059234076559507E+001	2.428387467268763E+001	
1.016915149634100E+006	-3.062274934303802E+001	2.317894383249139E+001	
1.020797701381573E+006	-3.066675088835812E+001	2.239202108448541E+001	
1.024695076595957E+006	-3.077776507849791E+001	2.187325596985612E+001	
1.028607331872807E+006	-3.086536106828756E+001	2.131865654957987E+001	
1.032534524023758E+006	-3.092044910742368E+001	1.966487956449227E+001	
1.036476710077351E+006	-3.090474689890277E+001	1.894119538173114E+001	
1.040433947279859E+006	-3.109104787290350E+001	1.815159624148090E+001	
1.044406293096120E+006	-3.105374111399520E+001	1.669933797383974E+001	
1.048393805210372E+006	-3.138622052212827E+001	1.645611197786169E+001	
1.052396541527089E+006	-3.144402393216535E+001	1.605114232941281E+001	
1.056414560171821E+006	-3.137499535207913E+001	1.438511057648480E+001	
1.060447919492042E+006	-3.148911626005918E+001	1.288624623352533E+001	
1.064496678057995E+006	-3.152269142604771E+001	1.300328954424785E+001	
1.068560894663540E+006	-3.168265077334321E+001	1.056934389644781E+001	
