# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
7.000000000000000E+005	-3.034528619878302E+001	6.431434333294577E+001	
7.026725791470498E+005	-3.033291980683496E+001	6.405797262814754E+001	
7.053553621216671E+005	-3.031884080708179E+001	6.378274526445455E+001	
7.080483878817615E+005	-3.030031613425842E+001	6.354028547733044E+001	
7.107516955339829E+005	-3.028278660906876E+001	6.330534651872645E+001	
7.134653243342892E+005	-3.027124157243680E+001	6.306336197398839E+001	
7.161893136885163E+005	-3.026364547651046E+001	6.278286413668182E+001	
7.189237031529503E+005	-3.024609114607517E+001	6.253275203852973E+001	
7.216685324349023E+005	-3.022883798709498E+001	6.227835170366537E+001	
7.244238413932845E+005	-3.022014567179778E+001	6.201050178122848E+001	
7.271896700391894E+005	-3.020809869758704E+001	6.178723329342556E+001	
7.299660585364705E+005	-3.019444321747464E+001	6.153185235272682E+001	
7.327530472023258E+005	-3.018039112513003E+001	6.127578370991132E+001	
7.355506765078831E+005	-3.016453829785819E+001	6.103765724924914E+001	
7.383589870787879E+005	-3.015500578205119E+001	6.081556622535319E+001	
7.411780196957929E+005	-3.013555712807352E+001	6.053732916433828E+001	
7.440078152953510E+005	-3.011608208841199E+001	6.029551671143213E+001	
7.468484149702088E+005	-3.010028194461886E+001	5.999999772457861E+001	
7.496998599700038E+005	-3.009557599312573E+001	5.976492381197016E+001	
7.525621917018638E+005	-3.008207413767552E+001	5.950901673130431E+001	
7.554354517310073E+005	-3.006677823221500E+001	5.925272020097814E+001	
7.583196817813480E+005	-3.005610517424670E+001	5.898812486907959E+001	
7.612149237360997E+005	-3.003606846702325E+001	5.877210035158615E+001	
7.641212196383857E+005	-3.001065046887651E+001	5.851135424672651E+001	
7.670386116918483E+005	-3.000056514939499E+001	5.821440314685761E+001	
7.699671422612621E+005	-2.998235644007118E+001	5.793052688365234E+001	
7.729068538731491E+005	-2.996839103558368E+001	5.766361335843693E+001	
7.758577892163966E+005	-2.995921837527806E+001	5.735353942835799E+001	
7.788199911428765E+005	-2.994443062057581E+001	5.705207036101081E+001	
7.817935026680678E+005	-2.992923589688019E+001	5.675050584527288E+001	
7.847783669716817E+005	-2.991667448068981E+001	5.643727489530608E+001	
7.877746273982879E+005	-2.990683244857872E+001	5.613508576114479E+001	
7.907823274579444E+005	-2.989743769520162E+001	5.582829008545211E+001	
7.938015108268296E+005	-2.988025254926692E+001	5.552965452412310E+001	
7.968322213478759E+005	-2.986656477037391E+001	5.519656118640348E+001	
7.998745030314069E+005	-2.986292355866087E+001	5.490765379361463E+001	
8.029284000557762E+005	-2.984109585490332E+001	5.459202280105475E+001	
8.059939567680092E+005	-2.983795707919775E+001	5.427298351351583E+001	
8.090712176844468E+005	-2.983797565532592E+001	5.391301874019749E+001	
8.121602274913921E+005	-2.982685425729326E+001	5.354648072687211E+001	
8.152610310457588E+005	-2.982284959918678E+001	5.324299076402913E+001	
8.183736733757233E+005	-2.981557215820206E+001	5.289388111509300E+001	
8.214981996813783E+005	-2.981609583172145E+001	5.254191321493401E+001	
8.246346553353888E+005	-2.980952283760881E+001	5.226693633450130E+001	
8.277830858836516E+005	-2.979584383205385E+001	5.195633229579923E+001	
8.309435370459561E+005	-2.978826563087400E+001	5.157432056308677E+001	
8.341160547166488E+005	-2.978532229293901E+001	5.119108651096581E+001	
8.373006849652990E+005	-2.978846271053297E+001	5.088285178922313E+001	
8.404974740373687E+005	-2.976192741015560E+001	5.048379797103880E+001	
8.437064683548834E+005	-2.977489315130351E+001	5.016754384497172E+001	
8.469277145171067E+005	-2.976987775245045E+001	4.980233672673963E+001	
8.501612593012166E+005	-2.978481159233795E+001	4.955692971552260E+001	
8.534071496629852E+005	-2.976743809592172E+001	4.912426117390291E+001	
8.566654327374602E+005	-2.978312397395057E+001	4.865051320895503E+001	
8.599361558396496E+005	-2.977416377612064E+001	4.850695952595346E+001	
8.632193664652085E+005	-2.976722476283193E+001	4.803505060742265E+001	
8.665151122911291E+005	-2.978143095333664E+001	4.769387173002798E+001	
8.698234411764330E+005	-2.976865355724828E+001	4.722635478963009E+001	
8.731444011628662E+005	-2.976429527528826E+001	4.697314573397884E+001	
8.764780404755963E+005	-2.977292103404655E+001	4.650979930016132E+001	
8.798244075239137E+005	-2.977926496283625E+001	4.622782273838908E+001	
8.831835509019335E+005	-2.978358383696570E+001	4.574189774650970E+001	
8.865555193893019E+005	-2.978580840388350E+001	4.559956534593719E+001	
8.899403619519044E+005	-2.978568797359962E+001	4.502707772217442E+001	
8.933381277425767E+005	-2.978657861559015E+001	4.461899224245673E+001	
8.967488661018185E+005	-2.977663194763261E+001	4.419664686452078E+001	
9.001726265585104E+005	-2.976701312777900E+001	4.390293808866508E+001	
9.036094588306323E+005	-2.977906297464028E+001	4.328625558551536E+001	
9.070594128259862E+005	-2.978283714833374E+001	4.294989439612143E+001	
9.105225386429204E+005	-2.979673475997840E+001	4.237034285005076E+001	
9.139988865710575E+005	-2.979361594047550E+001	4.205375125451070E+001	
9.174885070920240E+005	-2.979049287875344E+001	4.154012821718459E+001	
9.209914508801840E+005	-2.981187883438425E+001	4.127532404077700E+001	
9.245077688033747E+005	-2.980862137024680E+001	4.076735571615156E+001	
9.280375119236454E+005	-2.980105914423858E+001	4.027275562241765E+001	
9.315807314979984E+005	-2.980806355231312E+001	3.974249027263937E+001	
9.351374789791340E+005	-2.981397520774177E+001	3.920476026649379E+001	
9.387078060161973E+005	-2.980997947903810E+001	3.869752913821178E+001	
9.422917644555284E+005	-2.983282438283073E+001	3.826117568729501E+001	
9.458894063414149E+005	-2.984229161939437E+001	3.765690618198703E+001	
9.495007839168483E+005	-2.983117468156149E+001	3.732412716897952E+001	
9.531259496242820E+005	-2.983144588497322E+001	3.654590342152171E+001	
