# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
7.000000000000000E+005	-3.407969748003637E+001	6.252280642353539E+001	
7.026725791470498E+005	-3.407418594652230E+001	6.243452277054702E+001	
7.053553621216671E+005	-3.405845594846556E+001	6.234714515129632E+001	
7.080483878817615E+005	-3.405317562365686E+001	6.226895436355826E+001	
7.107516955339829E+005	-3.404767447425157E+001	6.220141429782483E+001	
7.134653243342892E+005	-3.402810395125594E+001	6.207070143102887E+001	
7.161893136885163E+005	-3.402373756840851E+001	6.199636618988532E+001	
7.189237031529503E+005	-3.400628043511809E+001	6.192455316828450E+001	
7.216685324349023E+005	-3.399485541762969E+001	6.181704066893168E+001	
7.244238413932845E+005	-3.399198806842976E+001	6.176473436070604E+001	
7.271896700391894E+005	-3.397644681666155E+001	6.168281847983474E+001	
7.299660585364705E+005	-3.397492000886956E+001	6.161116129948395E+001	
7.327530472023258E+005	-3.395746950099646E+001	6.151498455814222E+001	
7.355506765078831E+005	-3.395403150584893E+001	6.152387721405872E+001	
7.383589870787879E+005	-3.393369254319172E+001	6.147285904992445E+001	
7.411780196957929E+005	-3.392012531819362E+001	6.139228133888203E+001	
7.440078152953510E+005	-3.390954532465853E+001	6.131667927103595E+001	
7.468484149702088E+005	-3.389214266538707E+001	6.127927790595401E+001	
7.496998599700038E+005	-3.387790029637485E+001	6.123425468620729E+001	
7.525621917018638E+005	-3.386133272596965E+001	6.111876763636654E+001	
7.554354517310073E+005	-3.384540452872056E+001	6.109461730453364E+001	
7.583196817813480E+005	-3.382868175537832E+001	6.103944680283891E+001	
7.612149237360997E+005	-3.381447157466833E+001	6.104409664671481E+001	
7.641212196383857E+005	-3.380167933012302E+001	6.096854774190663E+001	
7.670386116918483E+005	-3.377500413562233E+001	6.091978650237629E+001	
7.699671422612621E+005	-3.374517413385094E+001	6.079647337157122E+001	
7.729068538731491E+005	-3.372810813085670E+001	6.071639035485290E+001	
7.758577892163966E+005	-3.370878996193660E+001	6.061195306099000E+001	
7.788199911428765E+005	-3.368018738307757E+001	6.054029956157842E+001	
7.817935026680678E+005	-3.365930230712513E+001	6.043652409427534E+001	
7.847783669716817E+005	-3.363544325197891E+001	6.034448252943166E+001	
7.877746273982879E+005	-3.361543651210589E+001	6.026257527803183E+001	
7.907823274579444E+005	-3.359045958414087E+001	6.015002595754602E+001	
7.938015108268296E+005	-3.356751159641942E+001	6.001095871423289E+001	
7.968322213478759E+005	-3.354569271620394E+001	5.993629681821855E+001	
7.998745030314069E+005	-3.351911938092245E+001	5.977059495703814E+001	
8.029284000557762E+005	-3.348820818764918E+001	5.964119522592750E+001	
8.059939567680092E+005	-3.347649381956992E+001	5.951911515453403E+001	
8.090712176844468E+005	-3.344714004993531E+001	5.931758203478217E+001	
8.121602274913921E+005	-3.342560451531823E+001	5.920873966044911E+001	
8.152610310457588E+005	-3.341265168995707E+001	5.906472414748108E+001	
8.183736733757233E+005	-3.338956261335596E+001	5.892646193529166E+001	
8.214981996813783E+005	-3.337082225824535E+001	5.876154164379248E+001	
8.246346553353888E+005	-3.335846295893064E+001	5.862891547866549E+001	
8.277830858836516E+005	-3.333634886323189E+001	5.845851651200174E+001	
8.309435370459561E+005	-3.330801291364569E+001	5.828835577769362E+001	
8.341160547166488E+005	-3.328812207949137E+001	5.814922610825345E+001	
8.373006849652990E+005	-3.327469601982140E+001	5.796162360842364E+001	
8.404974740373687E+005	-3.325395795493533E+001	5.778715649534074E+001	
8.437064683548834E+005	-3.323867444396223E+001	5.762903919735683E+001	
8.469277145171067E+005	-3.321639149758631E+001	5.741820536667361E+001	
8.501612593012166E+005	-3.321389015094452E+001	5.724589913987632E+001	
8.534071496629852E+005	-3.318674185825551E+001	5.712760086419433E+001	
8.566654327374602E+005	-3.316949263735845E+001	5.679471532766524E+001	
8.599361558396496E+005	-3.317063208262782E+001	5.677462299996377E+001	
8.632193664652085E+005	-3.314731006613414E+001	5.647642819150214E+001	
8.665151122911291E+005	-3.314153379831483E+001	5.628787222431031E+001	
8.698234411764330E+005	-3.311122620605500E+001	5.622685019425460E+001	
8.731444011628662E+005	-3.311545880025698E+001	5.606312175792087E+001	
8.764780404755963E+005	-3.308462052995130E+001	5.581141619011465E+001	
8.798244075239137E+005	-3.307281427713762E+001	5.570447991842351E+001	
8.831835509019335E+005	-3.305476746149230E+001	5.545186451835854E+001	
8.865555193893019E+005	-3.306695329194362E+001	5.529232299666102E+001	
8.899403619519044E+005	-3.302301697992107E+001	5.508516042061488E+001	
8.933381277425767E+005	-3.302684146895046E+001	5.489419066921661E+001	
8.967488661018185E+005	-3.300754365810471E+001	5.475996164538621E+001	
9.001726265585104E+005	-3.298639289547727E+001	5.461510970967586E+001	
9.036094588306323E+005	-3.296444367587300E+001	5.414032936338542E+001	
9.070594128259862E+005	-3.296564375198392E+001	5.396169759486926E+001	
9.105225386429204E+005	-3.294134890249833E+001	5.382330156022753E+001	
9.139988865710575E+005	-3.291586084079581E+001	5.357979026513758E+001	
9.174885070920240E+005	-3.291240407558270E+001	5.339853268841070E+001	
9.209914508801840E+005	-3.290025238723980E+001	5.323894146159658E+001	
9.245077688033747E+005	-3.287433231552856E+001	5.292490209995437E+001	
9.280375119236454E+005	-3.286254667852450E+001	5.273462639522958E+001	
9.315807314979984E+005	-3.283479787130621E+001	5.245853108688183E+001	
9.351374789791340E+005	-3.283231124327977E+001	5.212780198645498E+001	
9.387078060161973E+005	-3.281478300530817E+001	5.183518167837096E+001	
9.422917644555284E+005	-3.279797372803274E+001	5.154953435913762E+001	
9.458894063414149E+005	-3.277779637443252E+001	5.127579295404127E+001	
9.495007839168483E+005	-3.277685946024140E+001	5.098907557586089E+001	
9.531259496242820E+005	-3.273603084845713E+001	5.062789890902440E+001	
9.567649561063933E+005	-3.272058524798857E+001	5.025224674092293E+001	
9.604178562068475E+005	-3.272170304015097E+001	5.006786836702712E+001	
9.640847029710657E+005	-3.270649392808974E+001	4.962750026929826E+001	
9.677655496469945E+005	-3.269415904536497E+001	4.919288714362831E+001	
9.714604496858798E+005	-3.267894190894546E+001	4.892307374563796E+001	
9.751694567430428E+005	-3.266829422315083E+001	4.850810560756648E+001	
9.788926246786590E+005	-3.265462676983994E+001	4.807397736865923E+001	
9.826300075585404E+005	-3.267744037415666E+001	4.777141463744216E+001	
9.863816596549209E+005	-3.262832625110070E+001	4.716946843930249E+001	
9.901476354472439E+005	-3.262543966682565E+001	4.671291952875021E+001	
9.939279896229539E+005	-3.262080801549572E+001	4.630718140808818E+001	
9.977227770782902E+005	-3.265886550306907E+001	4.618340739760767E+001	
1.001532052919085E+006	-3.261772523877134E+001	4.547984941397122E+001	
1.005355872461561E+006	-3.260206470410675E+001	4.480224715964300E+001	
1.009194291233139E+006	-3.261501106351243E+001	4.421246380656005E+001	
1.013047364973241E+006	-3.266333045666664E+001	4.388049467213921E+001	
1.016915149634100E+006	-3.265466208018044E+001	4.329758214037607E+001	
1.020797701381573E+006	-3.268286701868755E+001	4.284840990796589E+001	
1.024695076595957E+006	-3.271410714374608E+001	4.204129985514373E+001	
1.028607331872807E+006	-3.273439835730622E+001	4.150043987027947E+001	
1.032534524023758E+006	-3.270706666465131E+001	4.096417364504419E+001	
1.036476710077351E+006	-3.281695304266865E+001	4.040237670573317E+001	
1.040433947279859E+006	-3.276295488782861E+001	3.958985782354182E+001	
1.044406293096120E+006	-3.279270660345790E+001	3.908639184086139E+001	
1.048393805210372E+006	-3.285047689386155E+001	3.789091430848172E+001	
1.052396541527089E+006	-3.303400838506146E+001	3.859560603229100E+001	
1.056414560171821E+006	-3.294671505468577E+001	3.792477860444799E+001	
1.060447919492042E+006	-3.305588291954232E+001	3.715796423600735E+001	
1.064496678057995E+006	-3.300754769230286E+001	3.641562641952275E+001	
1.068560894663540E+006	-3.299932075103028E+001	3.511011874050772E+001	
1.072640628327012E+006	-3.322042360084684E+001	3.405645661508780E+001	
1.076735938292077E+006	-3.312768537451652E+001	3.393771895954679E+001	
1.080846884028589E+006	-3.327391235283961E+001	3.422678757496603E+001	
1.084973525233458E+006	-3.318956820284546E+001	3.276375952900934E+001	
1.089115921831515E+006	-3.328883409300468E+001	3.151351047104169E+001	
1.093274133976382E+006	-3.341793482868161E+001	3.062100256456558E+001	
1.097448222051345E+006	-3.349994347373738E+001	2.953192094821352E+001	
1.101638246670233E+006	-3.357460862771291E+001	2.849271587357039E+001	
1.105844268678295E+006	-3.372266608412438E+001	2.784494686167709E+001	
1.110066349153086E+006	-3.384155727005842E+001	2.667253685267658E+001	
1.114304549405355E+006	-3.389934960497023E+001	2.612331100341856E+001	
1.118558930979932E+006	-3.403519151875769E+001	2.454176465426084E+001	
1.122829555656622E+006	-3.422184473600606E+001	2.348267769312151E+001	
1.127116485451106E+006	-3.438852446873057E+001	2.293750989164169E+001	
1.131419782615839E+006	-3.464083142672534E+001	2.168676089316162E+001	
1.135739509640951E+006	-3.480304525178161E+001	2.058664293856660E+001	
1.140075729255161E+006	-3.505607818860309E+001	2.035342310675318E+001	
1.144428504426682E+006	-3.513733438706981E+001	1.948813518226978E+001	
1.148797898364140E+006	-3.542985862455070E+001	1.740441928737583E+001	
1.153183974517486E+006	-3.561226627724739E+001	1.695824462060049E+001	
1.157586796578926E+006	-3.576173825094899E+001	1.592082250065630E+001	
1.162006428483836E+006	-3.612485926689085E+001	1.382733805803922E+001	
1.166442934411698E+006	-3.645749756082571E+001	1.426560681448236E+001	
1.170896378787030E+006	-3.696347534323348E+001	1.325152481821711E+001	
1.175366826280319E+006	-3.726341236664314E+001	1.416687626621677E+001	
1.179854341808963E+006	-3.735472622582738E+001	1.231958904257132E+001	
1.184358990538213E+006	-3.814965933178171E+001	1.156101456829865E+001	
1.188880837882118E+006	-3.869447786414303E+001	1.258453814934351E+001	
1.193419949504476E+006	-3.899929825176331E+001	1.052532044030324E+001	
1.197976391319789E+006	-3.902281628453199E+001	6.837561067291933E+000	
1.202550229494216E+006	-3.986650168982692E+001	4.926664856734787E+000	
1.207141530446539E+006	-4.063209990184957E+001	4.035631593406828E+000	
