# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz]	db:Trc9_S21	ang:Trc9_S21	
7.000000000000000E+005	-3.810297269132527E+001	-8.315085776484524E-001	
7.026725791470498E+005	-3.821344746398312E+001	-1.749139160363433E+000	
7.053553621216671E+005	-3.831702007830425E+001	-2.984740543760207E+000	
7.080483878817615E+005	-3.841713979111019E+001	-4.184568963009817E+000	
7.107516955339829E+005	-3.854480366788805E+001	-5.225071641417173E+000	
7.134653243342892E+005	-3.867208984397164E+001	-6.544279172990830E+000	
7.161893136885163E+005	-3.882903155590687E+001	-7.975208400282708E+000	
7.189237031529503E+005	-3.898356861781822E+001	-9.069135621047602E+000	
7.216685324349023E+005	-3.911625352501397E+001	-1.058103822571174E+001	
7.244238413932845E+005	-3.927394937983851E+001	-1.202876559530030E+001	
7.271896700391894E+005	-3.945007869767576E+001	-1.355419608040555E+001	
7.299660585364705E+005	-3.961292929048714E+001	-1.500933578002100E+001	
7.327530472023258E+005	-3.980712818362383E+001	-1.682173899718656E+001	
7.355506765078831E+005	-4.003695866098159E+001	-1.834211525370837E+001	
7.383589870787879E+005	-4.021269300371132E+001	-2.029196566510265E+001	
7.411780196957929E+005	-4.050356028849305E+001	-2.228105418373483E+001	
7.440078152953510E+005	-4.071694231086784E+001	-2.414635902922205E+001	
7.468484149702088E+005	-4.099154177692385E+001	-2.643177639890027E+001	
7.496998599700038E+005	-4.131193160899927E+001	-2.818366658144804E+001	
7.525621917018638E+005	-4.150088273281267E+001	-3.043018991577638E+001	
7.554354517310073E+005	-4.171561682228436E+001	-3.295555982500429E+001	
7.583196817813480E+005	-4.202877404912891E+001	-3.592349652684621E+001	
7.612149237360997E+005	-4.231517608217344E+001	-3.904800552777026E+001	
7.641212196383857E+005	-4.269595674078655E+001	-4.245279322617503E+001	
7.670386116918483E+005	-4.305019549917051E+001	-4.559341209520940E+001	
7.699671422612621E+005	-4.339905521220372E+001	-4.967655699604070E+001	
7.729068538731491E+005	-4.371950538962448E+001	-5.286575888028520E+001	
7.758577892163966E+005	-4.410235815559469E+001	-5.768369208122571E+001	
7.788199911428765E+005	-4.464619162657666E+001	-6.161168786790535E+001	
7.817935026680678E+005	-4.489431297007543E+001	-6.635348703375541E+001	
7.847783669716817E+005	-4.518432265435308E+001	-7.255376810849343E+001	
7.877746273982879E+005	-4.560493729634119E+001	-7.864637252702941E+001	
7.907823274579444E+005	-4.582073848757041E+001	-8.485875443891943E+001	
7.938015108268296E+005	-4.622136615848049E+001	-9.190966811961327E+001	
7.968322213478759E+005	-4.640921452919986E+001	-1.002746423839827E+002	
7.998745030314069E+005	-4.633287164751683E+001	-1.076274001665672E+002	
8.029284000557762E+005	-4.643650348056628E+001	-1.169726556887270E+002	
8.059939567680092E+005	-4.622505819481883E+001	-1.247349941182928E+002	
8.090712176844468E+005	-4.601464866809117E+001	-1.320281752068789E+002	
8.121602274913921E+005	-4.577226254556965E+001	-1.403470556772261E+002	
8.152610310457588E+005	-4.535542433192531E+001	-1.470547679160725E+002	
8.183736733757233E+005	-4.478708277353007E+001	-1.543341030661416E+002	
8.214981996813783E+005	-4.438359259087795E+001	-1.591197662068428E+002	
8.246346553353888E+005	-4.380644811446609E+001	-1.651635780453665E+002	
8.277830858836516E+005	-4.359641167534618E+001	-1.682253723594038E+002	
8.309435370459561E+005	-4.271675893611580E+001	-1.745101594623012E+002	
8.341160547166488E+005	-4.239598472280085E+001	-1.791252074765544E+002	
8.373006849652990E+005	-4.193597572960834E+001	1.769548506864650E+002	
8.404974740373687E+005	-4.120408423707740E+001	1.733085134492605E+002	
8.437064683548834E+005	-4.108293273005556E+001	1.700657666072753E+002	
8.469277145171067E+005	-4.032111627099764E+001	1.682582262555858E+002	
8.501612593012166E+005	-3.976412288565213E+001	1.646607258788349E+002	
8.534071496629852E+005	-3.948035180705935E+001	1.620792464307855E+002	
8.566654327374602E+005	-3.891449082324658E+001	1.595701526624359E+002	
8.599361558396496E+005	-3.843402555866248E+001	1.561247594410928E+002	
8.632193664652085E+005	-3.813311616680210E+001	1.536510454289185E+002	
8.665151122911291E+005	-3.776718990793250E+001	1.507136801460996E+002	
8.698234411764330E+005	-3.754186003434514E+001	1.486647134588621E+002	
8.731444011628662E+005	-3.719531731677218E+001	1.471086984274569E+002	
8.764780404755963E+005	-3.680995665316236E+001	1.445394157504492E+002	
8.798244075239137E+005	-3.655849980830550E+001	1.422879117380077E+002	
8.831835509019335E+005	-3.627389249654122E+001	1.405524455107000E+002	
8.865555193893019E+005	-3.601478462329448E+001	1.388464777287642E+002	
8.899403619519044E+005	-3.575533630685909E+001	1.366193121569927E+002	
8.933381277425767E+005	-3.553336985018224E+001	1.346416530627787E+002	
8.967488661018185E+005	-3.529197150569046E+001	1.333554659310595E+002	
9.001726265585104E+005	-3.505777961740444E+001	1.315270010897578E+002	
9.036094588306323E+005	-3.484819126677274E+001	1.298578786926531E+002	
9.070594128259862E+005	-3.479185221748848E+001	1.300314836052040E+002	
9.105225386429204E+005	-3.463867127433358E+001	1.282867591311540E+002	
9.139988865710575E+005	-3.445114952679045E+001	1.270350035236092E+002	
9.174885070920240E+005	-3.423646091613282E+001	1.256461072138126E+002	
9.209914508801840E+005	-3.409226586829143E+001	1.244686441203527E+002	
9.245077688033747E+005	-3.387874237317396E+001	1.226021690240257E+002	
9.280375119236454E+005	-3.375274372443762E+001	1.214359431989352E+002	
9.315807314979984E+005	-3.364865636510454E+001	1.202332926551508E+002	
9.351374789791340E+005	-3.344357288289429E+001	1.191859758708958E+002	
9.387078060161973E+005	-3.328993713917677E+001	1.176712212952155E+002	
9.422917644555284E+005	-3.314798389075401E+001	1.166294363442664E+002	
9.458894063414149E+005	-3.301706587013302E+001	1.151259594840994E+002	
9.495007839168483E+005	-3.292431052715791E+001	1.138257884329916E+002	
9.531259496242820E+005	-3.278832754407139E+001	1.131038447311165E+002	
9.567649561063933E+005	-3.264958524971914E+001	1.117065275333603E+002	
9.604178562068475E+005	-3.256291833031936E+001	1.103645235565606E+002	
9.640847029710657E+005	-3.253903136742257E+001	1.096505703533229E+002	
9.677655496469945E+005	-3.238751643293032E+001	1.085578755521556E+002	
9.714604496858798E+005	-3.228911321422282E+001	1.073865964662949E+002	
9.751694567430428E+005	-3.221826085713409E+001	1.067871149505975E+002	
9.788926246786590E+005	-3.213385169118571E+001	1.059207495814100E+002	
9.826300075585404E+005	-3.203547778730167E+001	1.046615958692896E+002	
9.863816596549209E+005	-3.196327007092099E+001	1.040325868976190E+002	
9.901476354472439E+005	-3.184311169529252E+001	1.028196622654414E+002	
9.939279896229539E+005	-3.182462699614383E+001	1.021159387791917E+002	
9.977227770782902E+005	-3.177015002361586E+001	1.010705792726934E+002	
1.001532052919085E+006	-3.168795279930226E+001	1.005510368618239E+002	
1.005355872461561E+006	-3.161758155911425E+001	9.953444928921843E+001	
1.009194291233139E+006	-3.160820762202637E+001	9.872575197623050E+001	
1.013047364973241E+006	-3.150336695783942E+001	9.832777676169674E+001	
1.016915149634100E+006	-3.148220094459835E+001	9.749482377295286E+001	
1.020797701381573E+006	-3.139240899030106E+001	9.663784535133270E+001	
1.024695076595957E+006	-3.133401410016236E+001	9.588462782675927E+001	
1.028607331872807E+006	-3.130293115914025E+001	9.484154608555117E+001	
1.032534524023758E+006	-3.134697580323163E+001	9.466502057514560E+001	
1.036476710077351E+006	-3.126415454298429E+001	9.412152987472042E+001	
1.040433947279859E+006	-3.118300289268738E+001	9.349758700556004E+001	
1.044406293096120E+006	-3.112786077508069E+001	9.301205616477263E+001	
1.048393805210372E+006	-3.107701078475937E+001	9.202022497410296E+001	
1.052396541527089E+006	-3.110421846468751E+001	9.165643322849650E+001	
1.056414560171821E+006	-3.098993214561843E+001	9.094596269237796E+001	
1.060447919492042E+006	-3.095562169887743E+001	9.087743269861737E+001	
1.064496678057995E+006	-3.087569021854345E+001	9.007819921272477E+001	
1.068560894663540E+006	-3.084892847498829E+001	8.946708101032945E+001	
1.072640628327012E+006	-3.083766779993905E+001	8.875006329173469E+001	
1.076735938292077E+006	-3.075826270327898E+001	8.822194170911637E+001	
1.080846884028589E+006	-3.073658755889040E+001	8.765746782507665E+001	
1.084973525233458E+006	-3.070702949169487E+001	8.701643925604803E+001	
1.089115921831515E+006	-3.069019211341884E+001	8.641141987707086E+001	
1.093274133976382E+006	-3.067220692267570E+001	8.594183566257836E+001	
1.097448222051345E+006	-3.064837912180135E+001	8.540346639579204E+001	
1.101638246670233E+006	-3.064049826200804E+001	8.479328244691821E+001	
1.105844268678295E+006	-3.062747964389747E+001	8.460538130972530E+001	
1.110066349153086E+006	-3.061307007352900E+001	8.414270488301440E+001	
1.114304549405355E+006	-3.061738561185553E+001	8.381863454342071E+001	
1.118558930979932E+006	-3.055575685783861E+001	8.334057825219104E+001	
1.122829555656622E+006	-3.053007561722691E+001	8.307255477471199E+001	
1.127116485451106E+006	-3.052765299859202E+001	8.269541166306576E+001	
1.131419782615839E+006	-3.048380496660948E+001	8.210003232353236E+001	
1.135739509640951E+006	-3.046116876039904E+001	8.177570894221793E+001	
1.140075729255161E+006	-3.045902848186277E+001	8.114815404489846E+001	
1.144428504426682E+006	-3.046029075550126E+001	8.098623193824453E+001	
1.148797898364140E+006	-3.046802937994095E+001	8.071462977238828E+001	
1.153183974517486E+006	-3.043282130697684E+001	8.046195947103352E+001	
1.157586796578926E+006	-3.042967620912078E+001	8.041174920662407E+001	
1.162006428483836E+006	-3.042239212574987E+001	8.003343899999146E+001	
1.166442934411698E+006	-3.040238245294787E+001	7.992868668680011E+001	
1.170896378787030E+006	-3.034871841472649E+001	7.974775125614528E+001	
1.175366826280319E+006	-3.030900501405382E+001	7.936885434918378E+001	
1.179854341808963E+006	-3.029178045877558E+001	7.905674239808926E+001	
1.184358990538213E+006	-3.027918244141473E+001	7.869555346163118E+001	
1.188880837882118E+006	-3.025768060213999E+001	7.855519054263145E+001	
1.193419949504476E+006	-3.022679289722620E+001	7.831348227228963E+001	
1.197976391319789E+006	-3.022006132813530E+001	7.804724390928752E+001	
1.202550229494216E+006	-3.020437597445158E+001	7.787974816235762E+001	
1.207141530446539E+006	-3.018756772605482E+001	7.768104433566646E+001	
1.211750360849124E+006	-3.017005598582875E+001	7.751301737387868E+001	
1.216376787628889E+006	-3.014859772731112E+001	7.738305667606234E+001	
1.221020877968278E+006	-3.012654960172610E+001	7.733909823964709E+001	
1.225682699306236E+006	-3.009389675948321E+001	7.727381417906982E+001	
1.230362319339186E+006	-3.006447779532031E+001	7.706906126474371E+001	
1.235059806022018E+006	-3.005254330309415E+001	7.711219423146804E+001	
1.239775227569066E+006	-2.999738339452280E+001	7.694419633704480E+001	
1.244508652455109E+006	-2.996431413682293E+001	7.674949408169408E+001	
1.249260149416358E+006	-2.992764236604705E+001	7.671726491821596E+001	
1.254029787451459E+006	-2.988232221754909E+001	7.658612895348135E+001	
1.258817635822490E+006	-2.984782034029514E+001	7.650940755971872E+001	
1.263623764055973E+006	-2.980505207762192E+001	7.639054370258600E+001	
1.268448241943876E+006	-2.975516340167156E+001	7.629888192135326E+001	
1.273291139544635E+006	-2.971095185044392E+001	7.618031553363512E+001	
1.278152527184164E+006	-2.965528223905693E+001	7.608305976316913E+001	
1.283032475456880E+006	-2.959679684219610E+001	7.591972197242420E+001	
1.287931055226728E+006	-2.954280959559010E+001	7.576100628024574E+001	
1.292848337628209E+006	-2.947843438831910E+001	7.559868119217344E+001	
1.297784394067414E+006	-2.942014384407917E+001	7.536983843636205E+001	
1.302739296223058E+006	-2.935503743395922E+001	7.517390782054939E+001	
1.307713116047527E+006	-2.928936278312830E+001	7.487422428147062E+001	
1.312705925767916E+006	-2.923353565797772E+001	7.460206357670768E+001	
1.317717797887081E+006	-2.917346869401675E+001	7.425496606591763E+001	
1.322748805184695E+006	-2.912108284113891E+001	7.389756354914194E+001	
1.327799020718297E+006	-2.907375129855578E+001	7.355475033503409E+001	
1.332868517824361E+006	-2.902974041400548E+001	7.318306834988130E+001	
1.337957370119356E+006	-2.898376836363002E+001	7.280098077617086E+001	
1.343065651500817E+006	-2.894895327070556E+001	7.240688641602851E+001	
1.348193436148417E+006	-2.891252404164091E+001	7.202877940693759E+001	
1.353340798525045E+006	-2.887952468019753E+001	7.167541997770627E+001	
1.358507813377887E+006	-2.885296922011585E+001	7.130570046478574E+001	
1.363694555739513E+006	-2.882979907199562E+001	7.094800655478247E+001	
1.368901100928963E+006	-2.880309729892291E+001	7.064321681324287E+001	
1.374127524552843E+006	-2.878272466268221E+001	7.031243288019024E+001	
1.379373902506424E+006	-2.875581896422692E+001	6.997091836878420E+001	
1.384640310974744E+006	-2.873428236903170E+001	6.965275441602020E+001	
1.389926826433709E+006	-2.871461780583227E+001	6.933731825963611E+001	
1.395233525651211E+006	-2.869488711805898E+001	6.906628472508551E+001	
1.400560485688240E+006	-2.867463371952183E+001	6.875571486509583E+001	
1.405907783900000E+006	-2.865738595636625E+001	6.846966403687731E+001	
1.411275497937038E+006	-2.864047778906629E+001	6.819829547120423E+001	
1.416663705746365E+006	-2.862424272878174E+001	6.789620624537874E+001	
1.422072485572593E+006	-2.861148378576925E+001	6.762607429020527E+001	
1.427501915959071E+006	-2.859637989807570E+001	6.737962626087379E+001	
1.432952075749022E+006	-2.858326935267032E+001	6.712807317276011E+001	
1.438423044086692E+006	-2.856842841542304E+001	6.687874286853727E+001	
1.443914900418495E+006	-2.855508679443576E+001	6.665830506965402E+001	
1.449427724494170E+006	-2.853953180363913E+001	6.643282371520073E+001	
1.454961596367940E+006	-2.852886575618439E+001	6.621647075265254E+001	
1.460516596399671E+006	-2.851730661713917E+001	6.599532622823899E+001	
1.466092805256039E+006	-2.848395429674216E+001	6.578430348366274E+001	
1.471690303911706E+006	-2.849079589130053E+001	6.561233423945451E+001	
1.477309173650491E+006	-2.847648426502207E+001	6.541083757024305E+001	
1.482949496066554E+006	-2.846465053567815E+001	6.523733813445911E+001	
1.488611353065576E+006	-2.844864187576424E+001	6.507074415453344E+001	
1.494294826865954E+006	-2.843397523596597E+001	6.488260543058701E+001	
1.500000000000000E+006	-2.842092994073996E+001	6.471238609789764E+001	
